"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.063887","-1.750595","","","","","-.0731147","-2.055821","-.0679852","-1.947982","","","-.0694735","-2.027877"
"3.ncounty",".0690669","1.384751","","","","",".0242429",".4719804",".0450735",".9213205","","",".0434636",".858123"
"4.ncounty","-.2568252","-8.584139","","","","","-.1267396","-4.465498","-.2177829","-7.551841","","","-.1102166","-3.980651"
"5.ncounty",".0445793","1.039673","","","","",".057253","1.454078",".0077361",".1860408","","",".0498671","1.294868"
"6.ncounty","-.1166242","-3.929039","","","","","-.1837645","-6.20965","-.2281199","-8.051334","","","-.2409459","-8.488423"
"7.ncounty","-.2056533","-9.030728","","","","","-.1028902","-3.967416","-.2750645","-12.66808","","","-.1334089","-5.341283"
"8.ncounty","-.1562324","-4.000237","","","","","-.0578605","-1.540385","-.2284424","-6.023996","","","-.1075005","-2.967206"
"9.ncounty","-.3547589","-8.483343","","","","","-.2180152","-5.329107","-.3641423","-9.298039","","","-.2361495","-6.13942"
"10.ncounty","-.2520577","-2.448982","","","","","-.4983052","-4.638457","-.2971314","-3.052786","","","-.4739808","-4.588077"
"11.ncounty",".2031385","5.637283","","","","",".1501319","4.128717",".1137287","3.372274","","",".0996825","2.888786"
"12.ncounty",".1841623","4.895007","","","","",".1166036","3.111313",".1305879","3.684484","","",".1044754","2.903478"
"13.ncounty","-.3121616","-7.710832","","","","","-.3970104","-9.739375","-.3496424","-8.9609","","","-.3944281","-10.0056"
"14.ncounty",".1351135","3.04053","","","","",".0493091","1.118813",".0745408","1.738268","","",".0488106","1.134599"
"15.ncounty","-.0983464","-3.044807","","","","","-.1179311","-3.675012","-.1451238","-4.707767","","","-.1440874","-4.681398"
"16.ncounty","-.0865614","-1.654319","","","","",".0561919","1.17728","-.167384","-3.366681","","",".0044331",".0991714"
"17.ncounty","-.0897522","-1.77566","","","","","-.1517743","-3.015052","-.1244578","-2.627676","","","-.1429832","-2.991985"
"18.ncounty",".020877",".2518995","","","","","-.0838582","-1.00686","-.0075317","-.0897825","","","-.1001877","-1.14833"
"19.ncounty","-.0622422","-1.53179","","","","","-.0067907","-.1703763","-.1468305","-3.820433","","","-.0709638","-1.893252"
"20.ncounty","-.4085686","-15.27854","","","","","-.1905785","-6.411413","-.3818327","-14.77436","","","-.1596131","-5.518993"
"21.ncounty","-.7346317","-18.40369","","","","","-.2297738","-5.685545","-.7389098","-18.86267","","","-.2153925","-5.426137"
"22.ncounty","-.1160432","-4.389925","","","","","-.1741205","-6.41964","-.2051105","-8.155983","","","-.2266454","-8.728328"
"23.ncounty","-.233614","-2.070047","","","","","-.4079903","-3.340991","-.2983517","-2.347841","","","-.4171694","-3.000062"
"24.ncounty","-.3088106","-11.62511","","","","","-.1206903","-4.171296","-.3633983","-14.30486","","","-.1677548","-6.018298"
"25.ncounty","-.2600918","-6.19432","","","","","-.2459192","-5.732114","-.3524769","-8.793686","","","-.2959241","-7.204588"
"26.ncounty",".1952593","3.520881","","","","",".1024702","1.905386",".0933479","1.784919","","",".0410135",".8027287"
"27.ncounty","-.5599278","-19.76212","","","","","-.2911308","-10.56148","-.5270986","-18.92959","","","-.2617475","-9.653508"
"28.ncounty",".064602","1.264839","","","","",".0654674","1.244009",".0979614","2.081441","","",".1066223","2.170952"
"29.ncounty",".0786183","2.442567","","","","",".0320723",".9850936",".0709379","2.310636","","",".0534498","1.71521"
"30.ncounty",".0701069","1.810261","","","","",".0086132",".2234002",".0674806","1.88108","","",".0343141",".9413858"
"31.ncounty",".292921","8.720865","","","","",".3082457","8.990012",".2679518","8.454651","","",".331819","10.09298"
"32.ncounty","-.4458126","-1.606649","","","","","-.3517279","-1.327172","-.4396971","-1.564545","","","-.2716592","-1.003131"
"33.ncounty","-.0614071","-1.661859","","","","","-.0013306","-.0385738","-.0810133","-2.31135","","","-.0075043","-.2287585"
"34.ncounty",".021799",".481379","","","","",".0130529",".2828489",".031999",".7570863","","",".0305959",".7045937"
"35.ncounty","-.0582653","-1.447811","","","","","-.0102648","-.2590124","-.0294536","-.7816383","","",".0144134",".3847402"
"36.ncounty",".1373919","4.897081","","","","",".1279547","4.51545",".1379626","5.196638","","",".1447856","5.355448"
"std_length",".0153763","3.888141","","","","",".0045389","1.119526","-.034334","-7.845948","","","-.0388819","-8.523509"
"std_logdist","-.1796261","-24.92877","","","","","-.1062912","-12.02436","-.1265248","-17.79472","","","-.0813726","-9.352509"
"std_logpopdensity","","","-.090356","-16.81535","","","-.1003553","-9.690614","","","-.0822558","-15.76657","-.0842184","-8.404079"
"std_incomediversity4adj","","",".1783014","35.59217","","",".1587282","31.46603","","",".1835838","37.73149",".1628406","33.34124"
"std_logpoi","","",".1212877","27.14834","","",".1002014","20.76681","","",".0516349","10.82655",".0291821","5.797372"
"std_logincome","","",".0829423","14.4054","","",".073373","10.24335","","",".0814664","14.49669",".0861862","12.37628"
