"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0285188","-.6621447","","","","","-.0336539","-.8020012","-.030427","-.7272292","","","-.0245057","-.6007292"
"3.ncounty",".0312736",".494102","","","","",".028088",".423394",".0236565",".3802813","","",".0528057",".7997854"
"4.ncounty","-.1925534","-5.414675","","","","","-.1084409","-3.226987","-.1768636","-5.073297","","","-.100485","-3.026573"
"5.ncounty",".0494012",".9816721","","","","",".0548947","1.193355",".0325603",".6649401","","",".0588097","1.309709"
"6.ncounty","-.1361409","-4.073387","","","","","-.147479","-4.523173","-.1897462","-5.816734","","","-.1812084","-5.667105"
"7.ncounty","-.1676352","-6.120305","","","","","-.0488749","-1.621188","-.2061436","-7.775481","","","-.0730536","-2.479252"
"8.ncounty","-.1618632","-3.404001","","","","","-.0529583","-1.166547","-.195644","-4.191007","","","-.0745826","-1.683334"
"9.ncounty","-.1955779","-3.723552","","","","","-.0720436","-1.425281","-.2432623","-4.851721","","","-.1250044","-2.58062"
"10.ncounty","-.353026","-2.845802","","","","","-.5266928","-4.032497","-.353283","-2.976859","","","-.4932933","-3.925974"
"11.ncounty",".2053528","5.370196","","","","",".1826548","4.732618",".1626094","4.399217","","",".1554098","4.142993"
"12.ncounty",".1642441","3.974792","","","","",".1385497","3.407112",".1697827","4.262713","","",".159029","3.990238"
"13.ncounty","-.3582621","-7.471292","","","","","-.400129","-8.38574","-.3670268","-7.877597","","","-.3955322","-8.516661"
"14.ncounty",".1121132","2.290674","","","","",".0767947","1.591843",".0967639","2.055647","","",".0911872","1.941894"
"15.ncounty","-.1001846","-2.584614","","","","","-.0919042","-2.422236","-.1229221","-3.266814","","","-.1099513","-2.972875"
"16.ncounty",".0176255",".3336709","","","","",".14252","2.950739","-.0324071","-.6359116","","",".1076057","2.310986"
"17.ncounty","-.0487964","-.8593773","","","","","-.0705891","-1.218878","-.0680232","-1.223938","","","-.0685607","-1.201981"
"18.ncounty","-.1820188","-2.088941","","","","","-.2567217","-3.275968","-.1329318","-1.810254","","","-.2110452","-3.120373"
"19.ncounty",".0166479",".3780783","","","","",".0956996","2.308714","-.0291564","-.6703319","","",".0548239","1.345534"
"20.ncounty","-.288786","-8.021936","","","","","-.1041377","-2.749382","-.3154718","-8.983806","","","-.1226634","-3.293663"
"21.ncounty","-.6380589","-11.49928","","","","","-.2179294","-4.127697","-.6710479","-12.28414","","","-.2295221","-4.406244"
"22.ncounty","-.1170841","-3.755578","","","","","-.1293821","-4.159725","-.1671742","-5.546068","","","-.1681507","-5.556586"
"23.ncounty","-.4656227","-3.29832","","","","","-.598629","-3.945282","-.5006149","-3.840116","","","-.6082829","-4.123116"
"24.ncounty","-.2484896","-7.679285","","","","","-.0694839","-2.001187","-.3129623","-9.897832","","","-.1293874","-3.797045"
"25.ncounty","-.2101928","-4.619786","","","","","-.1686245","-3.604686","-.2814032","-6.170959","","","-.217434","-4.665424"
"26.ncounty",".2089814","3.575122","","","","",".1701597","3.004525",".1459579","2.526715","","",".1199562","2.123524"
"27.ncounty","-.5523839","-15.37469","","","","","-.3577033","-10.73442","-.5292504","-14.82846","","","-.3252034","-9.819733"
"28.ncounty",".0947201","1.792049","","","","",".1010741","1.834999",".1294752","2.536208","","",".1419754","2.668602"
"29.ncounty",".0390305","1.066219","","","","",".0212827",".5919206",".0569254","1.613892","","",".0527193","1.511121"
"30.ncounty",".0479882","1.099636","","","","",".0189016",".4449906",".0750941","1.789056","","",".05826","1.403681"
"31.ncounty",".2901082","8.005562","","","","",".3158072","8.572596",".2932534","8.429115","","",".348442","9.76198"
"32.ncounty","-.4990999","-1.60938","","","","","-.4387169","-1.464032","-.4262867","-1.40831","","","-.3056732","-1.04174"
"33.ncounty","-.0500919","-1.232709","","","","",".0045417",".1198162","-.0497238","-1.255126","","",".0101987",".2776138"
"34.ncounty",".0074981",".145339","","","","",".0166562",".3179584",".0246442",".4978551","","",".0347996",".6857358"
"35.ncounty",".033101",".8158242","","","","",".0787268","2.054497",".0637408","1.604415","","",".108414","2.853521"
"36.ncounty",".1191108","3.639083","","","","",".1413578","4.350253",".1280744","4.088629","","",".1560512","4.97902"
"std_length",".0134641","3.263509","","","","",".0073483","1.728326","-.0145651","-3.377528","","","-.0187029","-4.203807"
"std_logdist","-.168512","-20.70274","","","","","-.1217784","-12.71656","-.1352587","-16.43677","","","-.0995194","-10.42791"
"std_logpopdensity","","","-.0501503","-7.848642","","","-.0894056","-7.777148","","","-.0521272","-8.355931","-.0749588","-6.633538"
"std_incomediversity4adj","","",".171975","28.6446","","",".1547688","25.93353","","",".1734993","29.4665",".1558321","26.61021"
"std_logpoi","","",".0705041","14.00371","","",".0487772","8.924555","","",".0327914","6.163465",".0107523","1.902618"
"std_logincome","","",".0776553","10.71171","","",".0532579","6.190174","","",".081726","11.43407",".06952","8.185543"
