"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0174561","-.4028658","","","","","-.0228362","-.5420739","-.0185458","-.4394445","","","-.0134802","-.3279253"
"3.ncounty",".0442722",".741359","","","","",".0321156",".5174481",".0401193",".6819649","","",".0598848",".9701947"
"4.ncounty","-.2082986","-5.827506","","","","","-.1198399","-3.543936","-.1917584","-5.484696","","","-.111959","-3.356163"
"5.ncounty",".0679393","1.378568","","","","",".0718259","1.590599",".0456088",".9508069","","",".0708869","1.608428"
"6.ncounty","-.1194877","-3.625264","","","","","-.1384084","-4.291832","-.1780163","-5.54657","","","-.1748507","-5.540855"
"7.ncounty","-.177732","-6.558344","","","","","-.0676733","-2.255682","-.2183326","-8.340978","","","-.091428","-3.125567"
"8.ncounty","-.1624016","-3.453019","","","","","-.0515465","-1.149259","-.198087","-4.297801","","","-.0744029","-1.699667"
"9.ncounty","-.1919855","-3.832799","","","","","-.0679997","-1.406123","-.2339082","-4.878936","","","-.1150286","-2.472095"
"10.ncounty","-.3231973","-2.71354","","","","","-.499249","-3.964021","-.3256609","-2.8439","","","-.468182","-3.847444"
"11.ncounty",".2119229","5.532962","","","","",".1880535","4.88594",".1654189","4.486764","","",".1582764","4.240479"
"12.ncounty",".1665057","4.048087","","","","",".1390163","3.437265",".1696598","4.293589","","",".1574684","3.985168"
"13.ncounty","-.3434014","-7.254388","","","","","-.3880536","-8.223782","-.351943","-7.635067","","","-.3825881","-8.301793"
"14.ncounty",".1231129","2.516993","","","","",".0807662","1.678523",".102127","2.178446","","",".0917876","1.966384"
"15.ncounty","-.0889127","-2.35403","","","","","-.0838551","-2.257816","-.1138092","-3.10444","","","-.1030228","-2.847501"
"16.ncounty",".038546",".735777","","","","",".1614674","3.367177","-.0206257","-.4073754","","",".1190915","2.571332"
"17.ncounty","-.0418663","-.7628574","","","","","-.0626928","-1.120614","-.0603176","-1.125296","","","-.0595889","-1.0809"
"18.ncounty","-.1051358","-1.096533","","","","","-.1689053","-1.775607","-.05439","-.5924586","","","-.124158","-1.325899"
"19.ncounty",".0084185",".188149","","","","",".0831246","1.956604","-.0421928","-.9612453","","",".0384849",".9274386"
"20.ncounty","-.2734899","-7.873029","","","","","-.0962238","-2.617315","-.3001226","-8.846832","","","-.1121996","-3.102545"
"21.ncounty","-.645239","-11.78122","","","","","-.2160688","-4.136283","-.6766291","-12.53628","","","-.223365","-4.324239"
"22.ncounty","-.1023737","-3.351433","","","","","-.1221133","-4.004197","-.1539447","-5.218853","","","-.16038","-5.40724"
"23.ncounty","-.4458804","-3.465723","","","","","-.5755782","-4.172263","-.4749951","-3.981808","","","-.5775088","-4.254129"
"24.ncounty","-.2488675","-7.863059","","","","","-.0746129","-2.200753","-.3116497","-10.09602","","","-.1318991","-3.970257"
"25.ncounty","-.1913227","-4.320525","","","","","-.1573483","-3.464282","-.2675477","-6.013644","","","-.2088674","-4.608712"
"26.ncounty",".2042998","3.561103","","","","",".1647828","2.981188",".1430115","2.556607","","",".1158036","2.122715"
"27.ncounty","-.5518507","-15.72228","","","","","-.3476339","-10.5591","-.5287784","-15.17672","","","-.3165178","-9.68543"
"28.ncounty",".0634969","1.079857","","","","",".0762483","1.262787",".0984367","1.765367","","",".1168405","2.035197"
"29.ncounty",".04473","1.236226","","","","",".0276934",".7759712",".0607388","1.746369","","",".057543","1.666482"
"30.ncounty",".0668722","1.540684","","","","",".03616",".8496826",".0908198","2.172953","","",".0722667","1.738903"
"31.ncounty",".3002754","8.39234","","","","",".3237778","8.851616",".3057469","8.922275","","",".3582506","10.13665"
"32.ncounty","-.4778448","-1.540792","","","","","-.4126914","-1.376838","-.4141707","-1.368831","","","-.2888447","-.9844416"
"33.ncounty","-.0404032","-1.017364","","","","",".0164818",".4428018","-.0418058","-1.080422","","",".0204231",".5661359"
"34.ncounty",".0015071",".029682","","","","",".0160043",".309941",".0229687",".476038","","",".0383273",".7734772"
"35.ncounty",".0547738","1.395821","","","","",".0998042","2.681065",".0861266","2.228907","","",".1293963","3.490619"
"36.ncounty",".122394","3.820298","","","","",".1440405","4.509216",".1338595","4.373651","","",".1610599","5.234769"
"std_length",".0140574","3.467641","","","","",".0080118","1.916079","-.0148326","-3.489768","","","-.0186577","-4.255728"
"std_logdist","-.1757094","-21.68453","","","","","-.1222871","-12.93482","-.1413437","-17.33707","","","-.1003787","-10.66551"
"std_logpopdensity","","","-.05257","-8.391633","","","-.0852321","-7.510441","","","-.0545407","-8.924205","-.0717805","-6.453428"
"std_incomediversity4adj","","",".1748724","29.60378","","",".1563159","26.5082","","",".1767957","30.5266",".1577411","27.27908"
"std_logpoi","","",".0756976","15.20806","","",".0551135","10.23516","","",".036127","6.895625",".0149709","2.693762"
"std_logincome","","",".0761875","10.77033","","",".0558923","6.579859","","",".0799015","11.45363",".071749","8.576683"
"std_safety","","","-.2404488","-1.049838","","","-.2318233","-1.049135","","","-.4715387","-2.128873","-.4442555","-2.074597"
