"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0584985","-1.531252","","","","","-.0676974","-1.824165","-.0641732","-1.739131","","","-.0626454","-1.7445"
"3.ncounty",".0623776","1.208529","","","","",".0338245",".638586",".0360814",".7058378","","",".0491897",".9297558"
"4.ncounty","-.2355225","-7.410357","","","","","-.119086","-3.986716","-.2185781","-7.044891","","","-.1164263","-3.949485"
"5.ncounty",".0453319","1.003232","","","","",".0522615","1.256857",".0138418",".3139927","","",".0474541","1.161394"
"6.ncounty","-.1417873","-4.680499","","","","","-.1868187","-6.202029","-.229822","-7.847061","","","-.2356697","-8.069048"
"7.ncounty","-.2051607","-8.662816","","","","","-.0980229","-3.631587","-.2651341","-11.58658","","","-.1305577","-4.972585"
"8.ncounty","-.1692126","-4.119688","","","","","-.0579803","-1.483537","-.2295114","-5.714652","","","-.1014754","-2.672373"
"9.ncounty","-.3051487","-6.817661","","","","","-.166397","-3.811042","-.3275135","-7.72311","","","-.1967376","-4.738845"
"10.ncounty","-.3291157","-2.947546","","","","","-.5552762","-4.840335","-.355572","-3.41542","","","-.5296642","-4.896597"
"11.ncounty",".1911303","5.128805","","","","",".1511668","4.004878",".1150782","3.261146","","",".1057698","2.928864"
"12.ncounty",".1682828","4.45596","","","","",".1205067","3.194313",".1378191","3.821406","","",".1188344","3.239828"
"13.ncounty","-.3363263","-7.897468","","","","","-.4059095","-9.471474","-.3678274","-8.915727","","","-.4088141","-9.823913"
"14.ncounty",".0966351","2.084201","","","","",".0368088",".8056329",".0626851","1.393098","","",".048475","1.080008"
"15.ncounty","-.1201682","-3.567933","","","","","-.1251162","-3.750618","-.1595906","-4.947995","","","-.1514716","-4.719434"
"16.ncounty","-.0481425","-.9260545","","","","",".0982933","2.112521","-.1222907","-2.451098","","",".0489657","1.106519"
"17.ncounty","-.0823096","-1.615471","","","","","-.1223335","-2.400335","-.1051838","-2.146427","","","-.1124222","-2.272396"
"18.ncounty","-.0417652","-.4734531","","","","","-.1235064","-1.389544","-.0397153","-.4525732","","","-.1190922","-1.300327"
"19.ncounty","-.0510857","-1.228794","","","","",".0167227",".4110477","-.1216734","-3.041122","","","-.0416775","-1.069903"
"20.ncounty","-.3757051","-12.55338","","","","","-.1626625","-5.032793","-.3839872","-13.19301","","","-.1635449","-5.167841"
"21.ncounty","-.7317349","-16.17493","","","","","-.2285905","-5.184243","-.7570066","-17.00463","","","-.2320603","-5.322494"
"22.ncounty","-.1158197","-4.251699","","","","","-.1567052","-5.649547","-.1922502","-7.30068","","","-.2072834","-7.690711"
"23.ncounty","-.3630169","-3.007401","","","","","-.5198607","-3.961086","-.4447679","-3.778907","","","-.5532274","-4.040033"
"24.ncounty","-.2725121","-9.66903","","","","","-.0851977","-2.783552","-.3425453","-12.46166","","","-.1472165","-4.919401"
"25.ncounty","-.2346935","-5.584428","","","","","-.2150734","-4.959008","-.3226835","-7.774371","","","-.2668303","-6.272737"
"26.ncounty",".1608289","2.819318","","","","",".0967677","1.758214",".0711358","1.331399","","",".0349038",".669927"
"27.ncounty","-.5656692","-18.59161","","","","","-.3104403","-10.75178","-.543424","-18.02969","","","-.2855718","-9.968486"
"28.ncounty",".0818597","1.591565","","","","",".0861766","1.618957",".099609","2.055775","","",".1133292","2.249084"
"29.ncounty",".0505081","1.527875","","","","",".0203161",".6134925",".0494166","1.560126","","",".0422772","1.327139"
"30.ncounty",".059604","1.539987","","","","",".0175856",".4582237",".067026","1.823703","","",".0454237","1.221128"
"31.ncounty",".2599724","7.294581","","","","",".2855677","7.832082",".2456006","7.267502","","",".3105989","8.88245"
"32.ncounty","-.6595184","-2.408236","","","","","-.5543805","-2.216291","-.6265181","-2.441497","","","-.4526311","-1.902824"
"33.ncounty","-.0390713","-1.08624","","","","",".0250221",".7468713","-.0588011","-1.682256","","",".0166941",".5135186"
"34.ncounty",".0140518",".3068214","","","","",".0137652",".2933849",".023945",".5498805","","",".0286994",".6404899"
"35.ncounty","-.0529156","-1.252319","","","","","-.0022562","-.0548557","-.0204699","-.5102387","","",".0275767",".7018865"
"36.ncounty",".1099146","3.736274","","","","",".1143247","3.861774",".1074238","3.840011","","",".1244009","4.388529"
"std_length",".013289","3.363662","","","","",".0047381","1.159528","-.0263237","-6.027134","","","-.0300603","-6.577715"
"std_logdist","-.1748474","-23.34683","","","","","-.1090522","-12.09379","-.1305259","-17.48221","","","-.0855012","-9.568124"
"std_logpopdensity","","","-.0756051","-13.29391","","","-.0967434","-8.953466","","","-.0720955","-13.05058","-.0798695","-7.604602"
"std_incomediversity4adj","","",".1829562","34.30192","","",".1636063","30.57417","","",".1855534","35.6378",".1652782","31.71487"
"std_logpoi","","",".1014333","21.83829","","",".0823495","16.41619","","",".045753","9.247738",".0252843","4.837889"
"std_logincome","","",".0824409","13.24443","","",".0696495","9.041715","","",".0842686","13.80972",".0847119","11.2533"
