"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0634441","-1.679094","","","","","-.0700028","-1.909275","-.0726042","-2.000973","","","-.0705323","-1.986979"
"3.ncounty",".0590375","1.134414","","","","",".0230738",".4327627",".0318221",".6228282","","",".0393606",".7467228"
"4.ncounty","-.244901","-8.036688","","","","","-.1198732","-4.150032","-.2168427","-7.334179","","","-.1098698","-3.878402"
"5.ncounty",".053604","1.253321","","","","",".0601511","1.522548",".0230467",".5528146","","",".0574111","1.48091"
"6.ncounty","-.1280058","-4.264219","","","","","-.1859446","-6.212776","-.2306295","-8.006055","","","-.2407878","-8.347203"
"7.ncounty","-.2069896","-9.005909","","","","","-.1041078","-3.966305","-.2728477","-12.36512","","","-.1360953","-5.355302"
"8.ncounty","-.1645094","-4.153978","","","","","-.0560645","-1.486449","-.229921","-5.955129","","","-.1022051","-2.793589"
"9.ncounty","-.3481419","-7.905961","","","","","-.2112048","-4.919979","-.3651571","-8.803176","","","-.2367714","-5.840808"
"10.ncounty","-.300351","-2.896265","","","","","-.5299576","-4.841008","-.3306404","-3.446439","","","-.5000903","-4.833407"
"11.ncounty",".2037678","5.668273","","","","",".1564933","4.314055",".122765","3.618987","","",".1101454","3.176969"
"12.ncounty",".1815564","4.969153","","","","",".121319","3.317563",".1397441","4.032863","","",".1158208","3.280646"
"13.ncounty","-.3160539","-7.708225","","","","","-.3949723","-9.597332","-.3552783","-8.962767","","","-.3980956","-9.974024"
"14.ncounty",".1313091","2.913407","","","","",".055285","1.236839",".0737414","1.688786","","",".0519602","1.186269"
"15.ncounty","-.1162193","-3.525212","","","","","-.133396","-4.075708","-.1605256","-5.1064","","","-.1603463","-5.11715"
"16.ncounty","-.0879568","-1.629501","","","","",".0650619","1.353046","-.1692448","-3.296885","","",".0111042",".2452011"
"17.ncounty","-.0879217","-1.713763","","","","","-.1390026","-2.719216","-.1250794","-2.573166","","","-.1356017","-2.768091"
"18.ncounty","-.0050325","-.0608616","","","","","-.1006584","-1.207162","-.0147","-.1769274","","","-.1018158","-1.176104"
"19.ncounty","-.0612887","-1.487094","","","","",".0038155",".0950247","-.1405108","-3.577513","","","-.05894","-1.545655"
"20.ncounty","-.4087284","-14.73558","","","","","-.1896121","-6.226208","-.3938075","-14.66134","","","-.1706702","-5.740288"
"21.ncounty","-.7296008","-17.46755","","","","","-.2200754","-5.324212","-.7426552","-18.07576","","","-.2139599","-5.249284"
"22.ncounty","-.1184814","-4.442796","","","","","-.1725228","-6.3202","-.2041705","-7.997712","","","-.2266187","-8.620862"
"23.ncounty","-.2790938","-2.346633","","","","","-.4576734","-3.608874","-.3506368","-2.776784","","","-.4749693","-3.452815"
"24.ncounty","-.2966719","-10.99782","","","","","-.106187","-3.613488","-.356535","-13.70908","","","-.1598536","-5.604634"
"25.ncounty","-.2233353","-5.562063","","","","","-.2052257","-4.972637","-.3205347","-8.157642","","","-.26423","-6.552589"
"26.ncounty",".1608704","2.793296","","","","",".0846656","1.509127",".066775","1.24776","","",".0233988",".4436551"
"27.ncounty","-.5679497","-19.59555","","","","","-.2998258","-10.72619","-.5408156","-18.92202","","","-.2735731","-9.917434"
"28.ncounty",".092958","1.873335","","","","",".0999917","1.941864",".1183536","2.529843","","",".1339002","2.729056"
"29.ncounty",".0564016","1.713268","","","","",".0184921",".5566385",".0512996","1.638777","","",".0403855","1.272566"
"30.ncounty",".0721895","1.861329","","","","",".0200068",".5201919",".0721787","1.987127","","",".04561","1.240127"
"31.ncounty",".2856038","8.399146","","","","",".3098517","8.897717",".2641147","8.195195","","",".3323176","9.914529"
"32.ncounty","-.6148959","-2.245596","","","","","-.5200515","-2.085094","-.6194355","-2.42045","","","-.4477489","-1.889677"
"33.ncounty","-.0378362","-1.046938","","","","",".0238509",".712975","-.0576008","-1.651369","","",".0172624",".5350863"
"34.ncounty",".0060122",".1323923","","","","",".0051756",".1120749",".0226716",".5330224","","",".0277735",".6361959"
"35.ncounty","-.0491159","-1.220474","","","","","-.0004434","-.0112281","-.0213959","-.563191","","",".0247871",".6607338"
"36.ncounty",".1252533","4.412434","","","","",".1236366","4.322344",".1231803","4.578306","","",".1369031","5.006189"
"std_length",".0144342","3.661721","","","","",".0042089","1.038232","-.0309025","-7.08078","","","-.0352843","-7.750473"
"std_logdist","-.1796927","-24.61218","","","","","-.1081359","-12.09054","-.130916","-18.07686","","","-.0837231","-9.492914"
"std_logpopdensity","","","-.0857052","-15.66448","","","-.098645","-9.38506","","","-.0786976","-14.79439","-.0811857","-7.96117"
"std_incomediversity4adj","","",".182471","35.73506","","",".1630027","31.82198","","",".1867198","37.57815",".1662422","33.43371"
"std_logpoi","","",".1141745","25.20773","","",".0937296","19.1811","","",".0510523","10.57538",".0289799","5.689186"
"std_logincome","","",".0846375","14.27082","","",".0749328","10.14363","","",".0845309","14.5833",".0887816","12.34569"
