"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0249728","-.5745254","","","","","-.0271823","-.6478372","-.0253379","-.5998133","","","-.0163534","-.3997937"
"3.ncounty",".0624233","1.039364","","","","",".0537302",".8462626",".0539516",".9083418","","",".0782731","1.234692"
"4.ncounty","-.1816439","-4.979699","","","","","-.100786","-2.92659","-.1695706","-4.730092","","","-.0963622","-2.826636"
"5.ncounty",".0645863","1.229508","","","","",".0640371","1.343713",".0447724",".8737443","","",".0648217","1.390741"
"6.ncounty","-.1383104","-4.08161","","","","","-.147001","-4.473114","-.189577","-5.7271","","","-.1795702","-5.566045"
"7.ncounty","-.1664922","-5.925076","","","","","-.0516389","-1.672807","-.203669","-7.477666","","","-.0750532","-2.487869"
"8.ncounty","-.1507488","-3.140372","","","","","-.0433803","-.9484836","-.1824818","-3.866774","","","-.0634026","-1.419163"
"9.ncounty","-.1901296","-3.572985","","","","","-.0722539","-1.412208","-.237367","-4.669315","","","-.1241493","-2.535301"
"10.ncounty","-.3593834","-2.772338","","","","","-.5323594","-3.903165","-.3600276","-2.906805","","","-.4993465","-3.816189"
"11.ncounty",".2294364","6.008924","","","","",".2042445","5.282306",".1837723","4.939913","","",".1733459","4.576884"
"12.ncounty",".1541806","3.590961","","","","",".1322901","3.130191",".1597388","3.867583","","",".1524866","3.686597"
"13.ncounty","-.3561141","-7.351785","","","","","-.3957482","-8.219689","-.3624236","-7.692248","","","-.3888045","-8.292075"
"14.ncounty",".1007803","2.020863","","","","",".0620936","1.273224",".0914001","1.906444","","",".081609","1.722699"
"15.ncounty","-.1050612","-2.648254","","","","","-.0956009","-2.467884","-.1253469","-3.254613","","","-.1116597","-2.955803"
"16.ncounty",".0113597",".203489","","","","",".1453762","2.867574","-.0450079","-.8416298","","",".1043453","2.137996"
"17.ncounty","-.0636017","-1.08751","","","","","-.0823336","-1.381253","-.0791915","-1.387015","","","-.0790432","-1.35029"
"18.ncounty","-.1884802","-2.16254","","","","","-.2596755","-3.305756","-.1352364","-1.835911","","","-.2100308","-3.105895"
"19.ncounty",".0086118",".1905953","","","","",".0876568","2.060952","-.0346529","-.7784588","","",".0485877","1.165643"
"20.ncounty","-.2804102","-7.513015","","","","","-.1050917","-2.699164","-.3103168","-8.515444","","","-.1265301","-3.304285"
"21.ncounty","-.6412261","-11.03292","","","","","-.2266576","-4.156588","-.6753344","-11.80466","","","-.2402001","-4.470338"
"22.ncounty","-.1216023","-3.781491","","","","","-.1365646","-4.275317","-.1712792","-5.507198","","","-.1751713","-5.63666"
"23.ncounty","-.4717699","-3.335039","","","","","-.6009483","-3.938782","-.5013776","-3.839952","","","-.60658","-4.101056"
"24.ncounty","-.2486423","-7.483147","","","","","-.0726134","-2.043238","-.312174","-9.604451","","","-.1318897","-3.778238"
"25.ncounty","-.2156648","-4.60088","","","","","-.1680262","-3.496498","-.2866437","-6.108044","","","-.2175544","-4.545112"
"26.ncounty",".1963303","3.212456","","","","",".1667273","2.819776",".1321173","2.201582","","",".1136615","1.93228"
"27.ncounty","-.5385188","-14.77778","","","","","-.35096","-10.33427","-.5162841","-14.22604","","","-.3190725","-9.442767"
"28.ncounty",".0947663","1.791002","","","","",".112706","2.073808",".1190971","2.345144","","",".1431913","2.733928"
"29.ncounty",".0394235","1.050719","","","","",".0248077",".675566",".0558367","1.542712","","",".0550188","1.541919"
"30.ncounty",".049242","1.11023","","","","",".0199982",".4638949",".0797412","1.86373","","",".0619446","1.467061"
"31.ncounty",".301403","8.3436","","","","",".329308","9.012859",".3055895","8.774701","","",".3627269","10.19448"
"32.ncounty","-.5078136","-1.63718","","","","","-.4431417","-1.475314","-.427712","-1.411762","","","-.3031407","-1.030375"
"33.ncounty","-.0528239","-1.267308","","","","",".001522",".0393554","-.0511953","-1.258041","","",".0087862",".2341899"
"34.ncounty",".0067239",".1277466","","","","",".0175832",".3293236",".0260867",".5155044","","",".0376976",".7279059"
"35.ncounty",".0330993",".7805704","","","","",".0756442","1.899334",".0622881","1.497277","","",".1041038","2.633218"
"36.ncounty",".1201671","3.608918","","","","",".1468306","4.462019",".1297529","4.065275","","",".1620902","5.095671"
"std_length",".0126292","3.042286","","","","",".0072778","1.701341","-.0134721","-3.108902","","","-.0171226","-3.832897"
"std_logdist","-.1683085","-20.52111","","","","","-.1214833","-12.60665","-.1361355","-16.40968","","","-.0998744","-10.40381"
"std_logpopdensity","","","-.0486091","-7.471753","","","-.0858148","-7.373698","","","-.0513342","-8.083759","-.0718439","-6.281457"
"std_incomediversity4adj","","",".1721129","28.01803","","",".1553563","25.4204","","",".1735245","28.81175",".1563964","26.06727"
"std_logpoi","","",".0687575","13.39265","","",".0459194","8.267868","","",".0324244","5.985351",".0092952","1.618179"
"std_logincome","","",".075978","10.26093","","",".0536616","6.099767","","",".080623","11.02627",".0700282","8.050081"
