"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.1298729","-3.527525","","","","","-.1420235","-3.955687","-.1363253","-3.991821","","","-.1412576","-4.193632"
"3.ncounty",".0954228","1.952809","","","","",".0231138",".4597609",".0518824","1.092368","","",".0347973",".7077616"
"4.ncounty","-.2610091","-9.198138","","","","","-.1343524","-4.955813","-.2148163","-7.924442","","","-.114429","-4.363906"
"5.ncounty",".0410214",".9612994","","","","",".0390971",".9861787","-.0224041","-.5512592","","",".015465",".4057998"
"6.ncounty","-.0832233","-2.815756","","","","","-.1710397","-5.8332","-.2323603","-8.35941","","","-.2472136","-8.888588"
"7.ncounty","-.1949749","-8.875746","","","","","-.1051644","-4.219522","-.2914634","-14.05832","","","-.145015","-6.089464"
"8.ncounty","-.1609249","-4.217313","","","","","-.0763124","-2.081663","-.2493697","-6.87327","","","-.1351706","-3.88933"
"9.ncounty","-.4403527","-11.01836","","","","","-.3037811","-7.731344","-.4278018","-11.58049","","","-.3052939","-8.330045"
"10.ncounty","-.2189792","-2.16119","","","","","-.4953444","-4.752688","-.2870739","-3.051012","","","-.4774173","-4.83392"
"11.ncounty",".1968715","5.330139","","","","",".1248766","3.411071",".0913148","2.694581","","",".0705406","2.064469"
"12.ncounty",".1943647","5.144844","","","","",".1098249","2.955159",".1192343","3.412687","","",".0909894","2.583237"
"13.ncounty","-.2844404","-7.123472","","","","","-.3895939","-9.77773","-.3423359","-9.000723","","","-.39503","-10.34064"
"14.ncounty",".1916195","4.276165","","","","",".0832143","1.871616",".0958569","2.205478","","",".0662834","1.517429"
"15.ncounty","-.0967726","-3.009598","","","","","-.1295169","-4.07665","-.1591231","-5.266834","","","-.1648814","-5.482981"
"16.ncounty","-.1080918","-2.035577","","","","",".0168064",".3367024","-.2095753","-4.225322","","","-.044628","-.970401"
"17.ncounty","-.0813286","-1.52795","","","","","-.1654121","-3.149889","-.1487413","-3.064336","","","-.1744919","-3.577275"
"18.ncounty",".0827614","1.046346","","","","","-.0482573","-.6025276",".0246887",".2989043","","","-.083759","-.9893316"
"19.ncounty","-.0540528","-1.361465","","","","","-.0102026","-.2620092","-.1664705","-4.510058","","","-.0937437","-2.590137"
"20.ncounty","-.421313","-17.11002","","","","","-.2097142","-7.594868","-.3689984","-15.59241","","","-.1529948","-5.730796"
"21.ncounty","-.7247025","-20.27791","","","","","-.2400229","-6.487184","-.7189609","-20.55173","","","-.212373","-5.873508"
"22.ncounty","-.1016215","-3.936163","","","","","-.1696266","-6.45224","-.2111744","-8.708774","","","-.2309474","-9.256111"
"23.ncounty","-.1634937","-1.45141","","","","","-.3640911","-3.008811","-.2850486","-2.209674","","","-.4104601","-2.920569"
"24.ncounty","-.3187204","-12.41253","","","","","-.1393971","-4.99595","-.3778805","-15.55909","","","-.187766","-7.055185"
"25.ncounty","-.270952","-6.668801","","","","","-.2691445","-6.59369","-.3667018","-9.607684","","","-.31531","-8.167966"
"26.ncounty",".1975605","3.482526","","","","",".079128","1.410521",".0814623","1.557055","","",".0168002",".3212832"
"27.ncounty","-.5744043","-21.4552","","","","","-.3114255","-11.70828","-.5345003","-20.56024","","","-.2794068","-10.80283"
"28.ncounty",".0876887","1.767925","","","","",".0707154","1.383475",".1132492","2.493287","","",".1072732","2.266915"
"29.ncounty",".0836638","2.591532","","","","",".0151181",".4683427",".0671338","2.226136","","",".0377715","1.244127"
"30.ncounty",".105954","2.734501","","","","",".0262143",".687452",".0694013","1.966331","","",".0294725",".8280569"
"31.ncounty",".3149601","9.506633","","","","",".3082509","9.152105",".2780775","8.959162","","",".3331617","10.35368"
"32.ncounty","-.3685356","-1.328461","","","","","-.3237454","-1.22003","-.4330131","-1.537976","","","-.2948963","-1.085437"
"33.ncounty","-.0827719","-2.265441","","","","","-.0323369","-.9432702","-.0967589","-2.837948","","","-.0303658","-.9462792"
"34.ncounty",".0538382","1.183558","","","","",".0287355",".6170874",".0483838","1.142118","","",".0333288",".7615345"
"35.ncounty","-.0662313","-1.635496","","","","","-.0292396","-.7272987","-.0465789","-1.239681","","","-.0158795","-.4200831"
"36.ncounty",".1346124","4.784945","","","","",".1100834","3.915362",".1305888","4.991851","","",".1278974","4.832928"
"std_length",".0198444","4.886325","","","","",".0067219","1.634538","-.0430193","-9.619116","","","-.0483479","-10.42765"
"std_logdist","-.1865291","-26.37158","","","","","-.109719","-12.55683","-.1249368","-18.17613","","","-.0849784","-9.955278"
"std_logpopdensity","","","-.1027626","-19.46123","","","-.1094436","-10.75582","","","-.0885442","-17.4049","-.0935427","-9.569294"
"std_incomediversity4adj","","",".1701166","35.09071","","",".1510077","30.80766","","",".1794772","38.38036",".1582188","33.58496"
"std_logpoi","","",".1473875","33.5488","","",".1236814","26.07228","","",".058363","12.51383",".0329583","6.700703"
"std_logincome","","",".077608","14.05117","","",".0662238","9.679181","","",".0735116","13.73411",".0787698","11.90715"
