"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0631336","-1.632287","","","","","-.0741677","-1.967024","-.07243","-1.949498","","","-.0736967","-2.020916"
"3.ncounty",".0532911","1.003691","","","","",".0195331",".361235",".022651",".4343508","","",".0312618",".5844376"
"4.ncounty","-.222082","-7.137726","","","","","-.1015824","-3.456719","-.2037199","-6.716988","","","-.0995904","-3.439751"
"5.ncounty",".0331835",".7429842","","","","",".0396382",".9604089",".0039581",".0914188","","",".0366911",".9110549"
"6.ncounty","-.1342589","-4.44669","","","","","-.1893698","-6.298006","-.2281637","-7.84494","","","-.2393079","-8.22717"
"7.ncounty","-.1971858","-8.401029","","","","","-.0927529","-3.459252","-.2620728","-11.60676","","","-.1269318","-4.879756"
"8.ncounty","-.1668947","-4.11641","","","","","-.0601627","-1.558199","-.2306347","-5.838673","","","-.1061691","-2.836029"
"9.ncounty","-.3283958","-7.231176","","","","","-.1883905","-4.267886","-.354465","-8.280191","","","-.2214368","-5.303194"
"10.ncounty","-.3023891","-2.879522","","","","","-.5300832","-4.770648","-.3285019","-3.32581","","","-.5001866","-4.70458"
"11.ncounty",".1964193","5.264701","","","","",".1482214","3.934188",".1137719","3.235266","","",".0992837","2.763425"
"12.ncounty",".1742433","4.680043","","","","",".1171273","3.145175",".1411854","3.986218","","",".1165909","3.232776"
"13.ncounty","-.3150942","-7.572998","","","","","-.3926288","-9.355636","-.3540949","-8.764715","","","-.3986474","-9.753755"
"14.ncounty",".1139958","2.485266","","","","",".0408697",".9005167",".0692036","1.555578","","",".0459828","1.03283"
"15.ncounty","-.125387","-3.721206","","","","","-.1395589","-4.172016","-.1677331","-5.229403","","","-.1656017","-5.175193"
"16.ncounty","-.0626534","-1.1879","","","","",".0867345","1.858849","-.1424559","-2.833461","","",".0338946",".7708085"
"17.ncounty","-.092181","-1.759925","","","","","-.1426434","-2.729376","-.1224422","-2.45944","","","-.1357917","-2.706556"
"18.ncounty","-.018568","-.210255","","","","","-.1113421","-1.255652","-.0308774","-.3502635","","","-.1167664","-1.269396"
"19.ncounty","-.0332971","-.8224928","","","","",".0272049",".6865846","-.1123904","-2.88462","","","-.035953","-.9485759"
"20.ncounty","-.4067557","-13.90332","","","","","-.1888766","-5.948965","-.4070256","-14.38811","","","-.1837669","-5.929106"
"21.ncounty","-.7279402","-16.60231","","","","","-.2228661","-5.187685","-.7515243","-17.42103","","","-.226784","-5.346708"
"22.ncounty","-.1061035","-3.938726","","","","","-.1571997","-5.718603","-.1894652","-7.306632","","","-.210531","-7.908725"
"23.ncounty","-.3399357","-2.818584","","","","","-.5092723","-3.899105","-.4371772","-3.710806","","","-.5521188","-4.037482"
"24.ncounty","-.2722481","-9.896333","","","","","-.0829854","-2.769036","-.3385502","-12.68472","","","-.1420907","-4.86401"
"25.ncounty","-.2180376","-5.368251","","","","","-.2006063","-4.788615","-.3103737","-7.731999","","","-.2559676","-6.216349"
"26.ncounty",".1623252","2.882634","","","","",".0886623","1.616045",".0682991","1.303613","","",".0259778",".5043425"
"27.ncounty","-.5698199","-19.01963","","","","","-.3026834","-10.57864","-.5472104","-18.52577","","","-.2809798","-9.925239"
"28.ncounty",".1079477","2.142078","","","","",".1132259","2.158174",".1209062","2.527881","","",".136274","2.720755"
"29.ncounty",".0726511","2.261975","","","","",".0361431","1.117925",".0667698","2.164403","","",".0551336","1.769414"
"30.ncounty",".0754331","1.972715","","","","",".0253065",".6694397",".0771822","2.127078","","",".0503188","1.374191"
"31.ncounty",".2841564","8.121846","","","","",".3055183","8.513025",".2596182","7.810065","","",".322746","9.342683"
"32.ncounty","-.6350493","-2.319147","","","","","-.5362429","-2.147788","-.6210141","-2.423661","","","-.4520056","-1.903913"
"33.ncounty","-.0317361","-.8821005","","","","",".0295392",".8876259","-.0538945","-1.546267","","",".0198372",".6148116"
"34.ncounty",".0266734",".5948591","","","","",".0246351",".5361731",".0382429",".8987563","","",".040458",".922112"
"35.ncounty","-.0415784","-1.014324","","","","",".0098998",".2476817","-.0120922","-.3109477","","",".0358435",".9374012"
"36.ncounty",".1237973","4.305106","","","","",".1212115","4.175504",".12043","4.406874","","",".1319208","4.745124"
"std_length",".0138548","3.542668","","","","",".0040121",".9943443","-.028768","-6.605343","","","-.0328654","-7.227477"
"std_logdist","-.175218","-23.6828","","","","","-.1050824","-11.72287","-.1290202","-17.54544","","","-.0818436","-9.240653"
"std_logpopdensity","","","-.0821595","-14.71269","","","-.0982304","-9.201779","","","-.0770457","-14.18804","-.0812033","-7.840014"
"std_incomediversity4adj","","",".1818639","34.88461","","",".1624468","31.10058","","",".1849692","36.39078",".1644567","32.36873"
"std_logpoi","","",".1086164","23.59124","","",".0891951","17.94216","","",".0500568","10.21566",".0291929","5.638484"
"std_logincome","","",".0856813","14.1346","","",".073636","9.836286","","",".0862483","14.5259",".0871609","11.93088"
