"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0484641","-1.241623","","","","","-.0580897","-1.5269","-.0504621","-1.333038","","","-.0485481","-1.314636"
"3.ncounty",".0553846","1.05197","","","","",".0262486",".4793294",".0359417",".6901199","","",".0456396",".8377155"
"4.ncounty","-.2373339","-7.327656","","","","","-.1239478","-4.063991","-.2171183","-6.873675","","","-.1173393","-3.900702"
"5.ncounty",".0495071","1.079416","","","","",".055682","1.324428",".0177203",".3953952","","",".0512271","1.242183"
"6.ncounty","-.1464254","-4.754875","","","","","-.1843227","-6.021637","-.22677","-7.595878","","","-.229649","-7.714286"
"7.ncounty","-.1969267","-8.154696","","","","","-.0892329","-3.247481","-.2512456","-10.75285","","","-.1185063","-4.427422"
"8.ncounty","-.1754514","-4.197449","","","","","-.053378","-1.35088","-.2295323","-5.61315","","","-.0918802","-2.38681"
"9.ncounty","-.2912174","-6.261863","","","","","-.1559053","-3.438711","-.316625","-7.183485","","","-.1882066","-4.36436"
"10.ncounty","-.3756779","-3.331704","","","","","-.5819248","-4.972935","-.3912798","-3.80951","","","-.5507165","-5.069582"
"11.ncounty",".2196072","6.314436","","","","",".1851674","5.240159",".1498986","4.468189","","",".1435155","4.184547"
"12.ncounty",".1514315","3.930215","","","","",".1097291","2.847484",".1276087","3.478433","","",".1117992","2.992568"
"13.ncounty","-.350878","-8.122961","","","","","-.4133329","-9.538582","-.3743779","-8.961831","","","-.4115728","-9.781141"
"14.ncounty",".0973705","2.084564","","","","",".0431523",".9336465",".0593201","1.318158","","",".0480539","1.067919"
"15.ncounty","-.1076696","-3.155167","","","","","-.1086344","-3.207104","-.1456615","-4.432848","","","-.1344954","-4.103347"
"16.ncounty","-.0289446","-.5553108","","","","",".1198025","2.626244","-.0990464","-1.959669","","",".0732076","1.665844"
"17.ncounty","-.0977124","-1.839322","","","","","-.1332947","-2.49944","-.119572","-2.34886","","","-.1241792","-2.408101"
"18.ncounty","-.0633166","-.7147324","","","","","-.1403702","-1.575565","-.0447147","-.5117323","","","-.1210676","-1.329043"
"19.ncounty","-.037295","-.9027031","","","","",".0320096",".8006553","-.1030109","-2.576915","","","-.0223144","-.5805183"
"20.ncounty","-.3691678","-11.74071","","","","","-.1566582","-4.675236","-.3850698","-12.59756","","","-.1646206","-5.010837"
"21.ncounty","-.7249313","-15.46006","","","","","-.224565","-4.931429","-.7516245","-16.30442","","","-.2290021","-5.086919"
"22.ncounty","-.1139234","-4.104537","","","","","-.1513434","-5.359086","-.1850169","-6.881343","","","-.199022","-7.23606"
"23.ncounty","-.3852017","-3.189837","","","","","-.5309708","-4.03072","-.4477777","-3.806859","","","-.5504015","-4.022744"
"24.ncounty","-.2656434","-9.288128","","","","","-.0809464","-2.61001","-.3370131","-12.06309","","","-.1443461","-4.755665"
"25.ncounty","-.2397041","-5.661549","","","","","-.2139193","-4.912027","-.3188853","-7.618776","","","-.2601883","-6.08529"
"26.ncounty",".1648888","2.906126","","","","",".1078491","1.970501",".0870108","1.612477","","",".0544838","1.037114"
"27.ncounty","-.5577908","-17.93645","","","","","-.3119238","-10.57278","-.5358987","-17.3661","","","-.2863868","-9.77389"
"28.ncounty",".0690193","1.285566","","","","",".0709425","1.283554",".0895602","1.77382","","",".1012133","1.942483"
"29.ncounty",".0526949","1.590467","","","","",".0262172",".7890187",".0579078","1.815763","","",".053218","1.658446"
"30.ncounty",".055898","1.428523","","","","",".0181252",".4667972",".0706621","1.892399","","",".0513891","1.359576"
"31.ncounty",".2741412","7.782485","","","","",".3043467","8.414734",".2656309","7.898769","","",".3328173","9.545326"
"32.ncounty","-.6778518","-2.474879","","","","","-.5647442","-2.251577","-.6283841","-2.443271","","","-.4499898","-1.884979"
"33.ncounty","-.045592","-1.233078","","","","",".0138414",".401227","-.0627998","-1.749379","","",".0076435",".2290341"
"34.ncounty",".0141853",".3078389","","","","",".0172229",".3653815",".0290424",".6593146","","",".0369856",".8170367"
"35.ncounty","-.0272944","-.6373141","","","","",".0267456",".6470385",".0030394",".0741363","","",".0551284","1.382049"
"36.ncounty",".1008062","3.387762","","","","",".1101624","3.684885",".1066677","3.771578","","",".1277406","4.462785"
"std_length",".0140174","3.522992","","","","",".0057534","1.398447","-.0238514","-5.57908","","","-.0279406","-6.285571"
"std_logdist","-.1717711","-22.65882","","","","","-.1099261","-12.119","-.1296026","-17.09526","","","-.0862436","-9.59043"
"std_logpopdensity","","","-.0703812","-12.10394","","","-.0936347","-8.59451","","","-.0683303","-12.09958","-.0771205","-7.268001"
"std_incomediversity4adj","","",".1804906","33.31102","","",".1614053","29.63655","","",".1828091","34.52993",".1629441","30.68442"
"std_logpoi","","",".0926421","19.64059","","",".0732079","14.39542","","",".0410975","8.194803",".0203106","3.834579"
"std_logincome","","",".0837756","13.15439","","",".0704713","8.935381","","",".0859712","13.75833",".0853308","11.07479"
