"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0577783","-1.226435","","","","","-.0504899","-1.112396","-.0566434","-1.234515","","","-.0369512","-.8304984"
"3.ncounty",".0077698",".113454","","","","","-.0137109","-.1910213","-.0005547","-.0081764","","",".0069752",".0974984"
"4.ncounty","-.1924903","-5.033543","","","","","-.1196209","-3.331902","-.1769485","-4.679597","","","-.1089251","-3.047936"
"5.ncounty",".0680965","1.233284","","","","",".0625766","1.261731",".0518408",".9550887","","",".0653273","1.331404"
"6.ncounty","-.2036404","-5.822289","","","","","-.2030785","-6.030832","-.2414551","-7.032473","","","-.2255734","-6.771536"
"7.ncounty","-.1740143","-5.885099","","","","","-.0655597","-2.019402","-.2082189","-7.199679","","","-.0861101","-2.687406"
"8.ncounty","-.143815","-2.87495","","","","","-.0452614","-.9560879","-.1693167","-3.405437","","","-.0589573","-1.262137"
"9.ncounty","-.1592221","-2.916358","","","","","-.0481823","-.9171526","-.2114036","-4.008988","","","-.101825","-2.012629"
"10.ncounty","-.3291508","-3.063164","","","","","-.5016166","-4.713428","-.3350547","-3.239215","","","-.4827675","-4.708895"
"11.ncounty",".1886802","4.79772","","","","",".171746","4.33609",".1584819","4.083873","","",".1547687","3.922436"
"12.ncounty",".1311602","2.970272","","","","",".1089053","2.52345",".1410049","3.28881","","",".1276096","2.999738"
"13.ncounty","-.3813661","-7.366484","","","","","-.4094007","-7.98497","-.3865295","-7.632376","","","-.4055449","-8.076388"
"14.ncounty",".0509229",".9442455","","","","",".0092494",".1747918",".0484441",".9421853","","",".0321101",".6286261"
"15.ncounty","-.1735842","-4.112337","","","","","-.1624081","-4.00684","-.1874688","-4.602","","","-.1711448","-4.347844"
"16.ncounty",".0188642",".3278447","","","","",".1147455","2.132367","-.0298029","-.5407067","","",".0796063","1.532536"
"17.ncounty","-.1318024","-2.173936","","","","","-.1420752","-2.32703","-.1301721","-2.207881","","","-.1259731","-2.103943"
"18.ncounty","-.1673064","-2.269556","","","","","-.2298563","-3.627719","-.1079535","-1.70665","","","-.1769326","-3.236372"
"19.ncounty","-.0220593","-.4502546","","","","",".0488118","1.084622","-.0581121","-1.191434","","",".0169657",".3801383"
"20.ncounty","-.269935","-6.675584","","","","","-.1104627","-2.643617","-.3050373","-7.682492","","","-.1346836","-3.251778"
"21.ncounty","-.6465673","-10.45832","","","","","-.2608738","-4.481439","-.6737622","-11.05444","","","-.2662472","-4.620045"
"22.ncounty","-.1600214","-4.766751","","","","","-.1689314","-5.094612","-.2015397","-6.158823","","","-.1992393","-6.11831"
"23.ncounty","-.5592867","-3.586604","","","","","-.6880059","-4.126975","-.5801703","-4.131743","","","-.6904579","-4.442911"
"24.ncounty","-.247706","-7.13746","","","","","-.0852258","-2.286158","-.3056615","-8.889888","","","-.1360725","-3.668275"
"25.ncounty","-.2734825","-5.412436","","","","","-.2200187","-4.277132","-.3331994","-6.630897","","","-.2586222","-5.051014"
"26.ncounty",".1593135","2.507021","","","","",".1356711","2.252859",".0970141","1.543284","","",".083144","1.368734"
"27.ncounty","-.5237164","-13.11314","","","","","-.3608079","-9.892431","-.5012114","-12.48743","","","-.327852","-8.94487"
"28.ncounty",".0170707",".289779","","","","",".0363652",".6104446",".0459486",".8248304","","",".0703097","1.241656"
"29.ncounty","-.0180092","-.4518044","","","","","-.0262825","-.6773499",".0057317",".1488819","","",".0074515",".1969278"
"30.ncounty","-.0135444","-.286992","","","","","-.0369277","-.8025876",".0227448",".4994148","","",".0066604",".1477551"
"31.ncounty",".2679274","7.322012","","","","",".2918761","7.903854",".280958","7.90406","","",".3298258","9.109795"
"32.ncounty","-.1312802","-.6863029","","","","","-.0770516","-.5268055","-.0372695","-.1942644","","",".0698947",".4716443"
"33.ncounty","-.0633767","-1.453123","","","","","-.0122497","-.2996134","-.0621742","-1.446944","","","-.0065673","-.1636553"
"34.ncounty","-.015099","-.3170997","","","","","-.0022218","-.0467452",".0039105",".0853881","","",".0166939",".3608393"
"35.ncounty","-.0078693","-.17595","","","","",".0272968",".6450319",".0251235",".5712321","","",".059794","1.418792"
"36.ncounty",".0908326","2.675286","","","","",".1274107","3.812141",".1073533","3.271273","","",".1485587","4.539468"
"std_length",".0127155","3.02423","","","","",".0095965","2.211052","-.0083076","-1.906537","","","-.0103026","-2.29786"
"std_logdist","-.1590002","-18.30819","","","","","-.1137526","-11.31159","-.1313053","-14.8382","","","-.0952471","-9.460406"
"std_logpopdensity","","","-.0384911","-5.535882","","","-.076986","-6.173988","","","-.0443299","-6.50924","-.0667725","-5.408929"
"std_incomediversity4adj","","",".1663514","24.96459","","",".1502567","22.64183","","",".1673797","25.52351",".1508393","23.05299"
"std_logpoi","","",".0644713","11.7714","","",".0413395","6.909555","","",".0346425","6.040245",".0112543","1.830599"
"std_logincome","","",".0677706","8.273642","","",".0472965","4.906038","","",".0716245","8.813972",".0623011","6.497825"
