"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.076687","-2.155829","","","","","-.0890706","-2.560921","-.105932","-3.270399","","","-.1090518","-3.38744"
"3.ncounty",".1633102","3.212081","","","","",".0836107","1.625356",".0772509","1.615003","","",".0721266","1.465794"
"4.ncounty","-.2688803","-9.645573","","","","","-.1343973","-5.033629","-.2091346","-8.107827","","","-.110081","-4.379042"
"5.ncounty",".1099416","2.725804","","","","",".0972649","2.573105",".0185658",".492159","","",".0610421","1.707776"
"6.ncounty",".0160789",".5235991","","","","","-.113415","-3.726687","-.2219168","-7.958924","","","-.2418272","-8.642002"
"7.ncounty","-.1143682","-5.18337","","","","","-.0813917","-3.261403","-.2838877","-14.04473","","","-.1510073","-6.496936"
"8.ncounty","-.0833386","-2.156248","","","","","-.0249715","-.6704104","-.2352236","-6.585771","","","-.1270639","-3.693958"
"9.ncounty","-.4227088","-11.21739","","","","","-.2968235","-8.020966","-.4120791","-12.00984","","","-.3008969","-8.809655"
"10.ncounty","-.2556327","-2.025327","","","","","-.5405019","-4.388318","-.3638865","-3.482861","","","-.5331163","-5.038271"
"11.ncounty",".2840066","7.509119","","","","",".1811956","4.889682",".1129351","3.313229","","",".0903004","2.649899"
"12.ncounty",".276349","7.154514","","","","",".1648173","4.372158",".138058","3.99053","","",".112843","3.241818"
"13.ncounty","-.1864509","-4.564747","","","","","-.3210416","-7.871833","-.3066631","-8.030773","","","-.3607864","-9.388559"
"14.ncounty",".2830991","6.034079","","","","",".1346164","2.89112",".1133351","2.5704","","",".0825045","1.854698"
"15.ncounty","-.0892425","-2.663296","","","","","-.1392523","-4.228082","-.1799485","-5.998507","","","-.1906022","-6.373558"
"16.ncounty","-.0899745","-1.648083","","","","",".0077865",".149775","-.2264226","-4.534148","","","-.0727275","-1.543737"
"17.ncounty",".0680267","1.313485","","","","","-.0429266","-.8365497","-.0770282","-1.613137","","","-.1011767","-2.091628"
"18.ncounty",".2206385","2.586809","","","","",".0807661",".9610071",".0622708",".7168492","","","-.0381482","-.4274635"
"19.ncounty",".0278683",".701976","","","","",".0398137","1.016186","-.1543614","-4.313478","","","-.0969803","-2.744676"
"20.ncounty","-.3750745","-15.47343","","","","","-.1986235","-7.299974","-.3440874","-15.19201","","","-.1431085","-5.579244"
"21.ncounty","-.613305","-18.72963","","","","","-.1740118","-5.007523","-.6286864","-19.72275","","","-.1422606","-4.234442"
"22.ncounty","-.0384748","-1.455166","","","","","-.1385977","-5.182203","-.2059744","-8.604315","","","-.2343973","-9.508782"
"23.ncounty","-.0289499","-.273231","","","","","-.2479452","-2.157717","-.2295265","-1.805084","","","-.3462871","-2.488517"
"24.ncounty","-.2799442","-10.90747","","","","","-.1325619","-4.80097","-.3725756","-15.84001","","","-.1992339","-7.761015"
"25.ncounty","-.2211955","-5.500132","","","","","-.2522243","-6.258221","-.3473748","-9.46339","","","-.3067571","-8.252521"
"26.ncounty",".2692261","4.501458","","","","",".1143713","1.911271",".0921773","1.718653","","",".0157874",".2926714"
"27.ncounty","-.5769593","-22.08314","","","","","-.3077036","-11.651","-.5228217","-21.29675","","","-.2641325","-10.58384"
"28.ncounty",".1327295","2.549923","","","","",".1146397","2.170045",".1248738","2.707838","","",".12509","2.630933"
"29.ncounty",".1266152","3.67061","","","","",".0478848","1.3955",".0742452","2.402057","","",".0541125","1.732486"
"30.ncounty",".1507261","3.67088","","","","",".0578602","1.447129",".07373","2.088049","","",".0413775","1.165688"
"31.ncounty",".3664352","10.72528","","","","",".3352724","9.839147",".295246","9.582145","","",".3524165","11.19735"
"32.ncounty","-.2504478","-.9821897","","","","","-.2036884","-.8422742","-.3879683","-1.523818","","","-.2232036","-.9020324"
"33.ncounty","-.0788619","-2.148528","","","","","-.0226468","-.6590026","-.1023626","-3.100891","","","-.0237436","-.7576108"
"34.ncounty",".1112548","2.363937","","","","",".0824532","1.728331",".0766156","1.799596","","",".0631249","1.44285"
"35.ncounty","-.0026068","-.0652493","","","","",".0380152",".9581563","-.0062907","-.1730274","","",".0273634",".7417125"
"36.ncounty",".2020781","6.990914","","","","",".165722","5.763104",".1600365","6.125428","","",".157987","5.967034"
"std_length",".0388228","9.320085","","","","",".0233537","5.620064","-.050309","-11.0529","","","-.0560769","-11.91121"
"std_logdist","-.2046543","-28.75343","","","","","-.1075177","-12.06555","-.1237434","-18.40812","","","-.0817198","-9.607387"
"std_logpopdensity","","","-.1032882","-19.65984","","","-.0934305","-9.113859","","","-.0848919","-17.08575","-.0812599","-8.426367"
"std_incomediversity4adj","","",".1593966","33.38819","","",".1449651","29.69903","","",".175157","38.85663",".1561731","34.1311"
"std_logpoi","","",".1818353","41.70649","","",".1573218","33.23916","","",".0534387","11.58098",".0268867","5.526529"
"std_logincome","","",".0801697","14.77692","","",".0693691","10.25495","","",".0717892","13.94351",".0841506","13.15278"
