"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0366152","-1.032577","","","","","-.0552756","-1.599205","-.0856428","-2.718936","","","-.0913825","-2.922867"
"3.ncounty",".21719","4.306134","","","","",".1241477","2.461775",".0941103","2.032607","","",".090342","1.902215"
"4.ncounty","-.2865075","-10.19261","","","","","-.1540026","-5.713179","-.2155436","-8.593029","","","-.1228604","-4.99266"
"5.ncounty",".1525818","3.699753","","","","",".119313","3.063012",".017851",".477422","","",".0538889","1.507388"
"6.ncounty",".1106727","3.581349","","","","","-.0506167","-1.656143","-.2146606","-7.830886","","","-.2359503","-8.564773"
"7.ncounty","-.0398644","-1.793291","","","","","-.0523806","-2.090722","-.2768545","-13.97189","","","-.1479785","-6.49206"
"8.ncounty","-.0219159","-.5519086","","","","",".0111739",".291553","-.2358872","-6.580927","","","-.1329744","-3.836123"
"9.ncounty","-.3893462","-10.28871","","","","","-.2822226","-7.578709","-.4113419","-12.24717","","","-.3079889","-9.171863"
"10.ncounty","-.1711566","-1.434456","","","","","-.4751975","-4.105471","-.3227623","-3.283582","","","-.4889548","-4.913075"
"11.ncounty",".3511311","9.108168","","","","",".2204759","5.847037",".116491","3.443194","","",".089976","2.664005"
"12.ncounty",".3550518","8.940956","","","","",".2172503","5.639194",".1400737","4.052763","","",".1150265","3.310488"
"13.ncounty","-.1181717","-2.896939","","","","","-.2732659","-6.72696","-.293409","-7.881861","","","-.3478077","-9.28007"
"14.ncounty",".3715825","7.824116","","","","",".188788","4.010991",".1299646","2.95793","","",".0966072","2.176348"
"15.ncounty","-.0361057","-1.060401","","","","","-.1025514","-3.080204","-.1754437","-5.91593","","","-.1883289","-6.375165"
"16.ncounty","-.0317589","-.5800126","","","","",".0383513",".730826","-.2216607","-4.492969","","","-.0766702","-1.641792"
"17.ncounty",".1412084","2.624056","","","","",".0064161",".1216529","-.067664","-1.407427","","","-.0944669","-1.949202"
"18.ncounty",".1999469","1.449391","","","","",".0450356",".3201164",".0199708",".2035479","","","-.0876141","-.8398064"
"19.ncounty",".0914496","2.235137","","","","",".0802088","1.992728","-.1591","-4.458997","","","-.1072008","-3.043694"
"20.ncounty","-.3178381","-13.10894","","","","","-.1760224","-6.479936","-.328608","-14.92041","","","-.134748","-5.381611"
"21.ncounty","-.5449406","-16.88745","","","","","-.1526513","-4.413955","-.5981346","-19.33175","","","-.1283632","-3.908536"
"22.ncounty",".0329142","1.232397","","","","","-.0885402","-3.287823","-.1959505","-8.320415","","","-.2258139","-9.292911"
"23.ncounty","-.1270868","-.8763088","","","","","-.3640321","-2.485513","-.2529515","-1.983255","","","-.3617387","-2.645687"
"24.ncounty","-.23929","-9.225302","","","","","-.120982","-4.346555","-.3713468","-16.13901","","","-.207203","-8.225514"
"25.ncounty","-.2142031","-4.999459","","","","","-.2640227","-6.238291","-.362078","-9.622089","","","-.3235922","-8.50579"
"26.ncounty",".3342862","5.376282","","","","",".1607226","2.618981",".0912499","1.693345","","",".015796",".2918123"
"27.ncounty","-.5740682","-22.3057","","","","","-.3145409","-11.99116","-.4927746","-20.91466","","","-.2423945","-10.01393"
"28.ncounty",".1848205","3.469784","","","","",".1567663","2.923377",".1401065","3.046244","","",".137181","2.909809"
"29.ncounty",".1573727","4.393891","","","","",".065684","1.860114",".0742556","2.405481","","",".0558921","1.790082"
"30.ncounty",".2227894","5.429142","","","","",".1128213","2.833502",".1125114","3.221991","","",".076258","2.179928"
"31.ncounty",".3798933","10.48037","","","","",".3181055","8.832504",".2760495","8.84303","","",".3259977","10.24463"
"32.ncounty","-.1196757","-.4695223","","","","","-.1043542","-.4305284","-.3692209","-1.444677","","","-.2108156","-.8459632"
"33.ncounty","-.0654687","-1.762977","","","","","-.0172771","-.4966466","-.1009103","-3.105453","","","-.0196713","-.6354723"
"34.ncounty",".156321","3.240614","","","","",".114342","2.347134",".0864237","2.050682","","",".0677594","1.569262"
"35.ncounty",".0432837","1.097599","","","","",".074852","1.91669",".0163437",".4681387","","",".0429938","1.211619"
"36.ncounty",".216877","7.251451","","","","",".1671847","5.65557",".1593969","6.154267","","",".1542492","5.874065"
"std_length",".060822","13.95516","","","","",".0432974","10.11663","-.0541583","-11.82319","","","-.0602679","-12.74393"
"std_logdist","-.2182547","-30.00539","","","","","-.1087869","-11.96796","-.1187671","-17.77342","","","-.07912","-9.301226"
"std_logpopdensity","","","-.1035283","-19.35762","","","-.0866018","-8.324454","","","-.0853958","-17.30635","-.0795148","-8.278316"
"std_incomediversity4adj","","",".1515875","31.47252","","",".1403566","28.49033","","",".1730935","38.94478",".1544629","34.21995"
"std_logpoi","","",".2107235","47.44811","","",".1850034","38.30086","","",".0492358","10.70122",".0226217","4.652468"
"std_logincome","","",".0800102","14.62843","","",".0628166","9.214721","","",".0680207","13.38585",".0821244","13.00487"
"std_safety","","","1.114431","6.475886","","","1.073094","6.287995","","","-.1612248","-1.015526","-.1243126","-.7899722"
