"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0376819","-.8463602","","","","","-.0400147","-.9277422","-.0340989","-.7875275","","","-.0260638","-.6188738"
"3.ncounty",".0604841",".9987493","","","","",".0510522",".8005941",".0577962",".9620639","","",".07952","1.245499"
"4.ncounty","-.2049628","-5.466584","","","","","-.1257922","-3.560809","-.1904787","-5.164056","","","-.1180398","-3.371973"
"5.ncounty",".0706726","1.348839","","","","",".0716853","1.523712",".0517868","1.008022","","",".0722223","1.557375"
"6.ncounty","-.1460107","-4.252089","","","","","-.1537006","-4.608054","-.192261","-5.71269","","","-.1825967","-5.552853"
"7.ncounty","-.1802025","-6.318022","","","","","-.0707141","-2.254741","-.2143668","-7.731476","","","-.0922837","-3.003561"
"8.ncounty","-.1564212","-3.267233","","","","","-.0531785","-1.15903","-.1830213","-3.875455","","","-.0691364","-1.537653"
"9.ncounty","-.1770708","-3.48126","","","","","-.0698035","-1.411189","-.2228588","-4.571982","","","-.1198678","-2.539867"
"10.ncounty","-.3828255","-2.82733","","","","","-.5541655","-3.906138","-.3799313","-2.947815","","","-.5185435","-3.825642"
"11.ncounty",".2204768","5.688672","","","","",".1974857","5.034612",".1802148","4.759052","","",".1706142","4.421869"
"12.ncounty",".1732411","4.167282","","","","",".1483523","3.60054",".1801338","4.467433","","",".1682471","4.135302"
"13.ncounty","-.3723146","-7.480716","","","","","-.4122729","-8.355141","-.3752645","-7.757878","","","-.4033954","-8.409983"
"14.ncounty",".0915658","1.810869","","","","",".0523084","1.06824",".0829935","1.708318","","",".0713796","1.499035"
"15.ncounty","-.1158217","-2.902952","","","","","-.1046676","-2.698061","-.1325769","-3.422477","","","-.1180296","-3.116413"
"16.ncounty",".01192",".2132409","","","","",".1309912","2.543284","-.0348436","-.6483324","","",".0980002","1.970603"
"17.ncounty","-.0871812","-1.422941","","","","","-.1107368","-1.790722","-.1011476","-1.698543","","","-.1069651","-1.771577"
"18.ncounty","-.2040065","-2.339837","","","","","-.2725755","-3.461736","-.1439894","-1.950176","","","-.2172243","-3.208205"
"19.ncounty","-.0109834","-.2335286","","","","",".0614781","1.393146","-.0506929","-1.093949","","",".025817",".5971473"
"20.ncounty","-.2656587","-7.1047","","","","","-.0964141","-2.480853","-.2960251","-8.091261","","","-.1178198","-3.073099"
"21.ncounty","-.6150942","-10.76966","","","","","-.2138782","-3.991815","-.6448254","-11.44282","","","-.224596","-4.231771"
"22.ncounty","-.1302663","-3.992918","","","","","-.1455618","-4.489835","-.1781015","-5.63197","","","-.1830454","-5.791677"
"23.ncounty","-.4868669","-3.438483","","","","","-.6114787","-4.010104","-.5076798","-3.881831","","","-.6101769","-4.135181"
"24.ncounty","-.245138","-7.36239","","","","","-.0745619","-2.088951","-.3051163","-9.324399","","","-.1306823","-3.709128"
"25.ncounty","-.2432321","-5.130533","","","","","-.1953662","-4.020241","-.3079347","-6.526593","","","-.2400614","-4.97586"
"26.ncounty",".2076817","3.581028","","","","",".1786908","3.169721",".1445025","2.498947","","",".1264865","2.210615"
"27.ncounty","-.5394849","-14.46005","","","","","-.3594936","-10.38867","-.5153971","-13.81702","","","-.3256919","-9.416783"
"28.ncounty",".0765846","1.407679","","","","",".094559","1.693328",".1050688","2.012982","","",".1290308","2.399541"
"29.ncounty",".0182086",".4724496","","","","",".0061316",".1622259",".0362627",".9763022","","",".0365347",".9946663"
"30.ncounty",".0355606",".7826311","","","","",".0064037",".1444947",".0681856","1.553792","","",".0493706","1.136581"
"31.ncounty",".2906886","7.955298","","","","",".3182404","8.623238",".2998115","8.496868","","",".3550803","9.859379"
"32.ncounty","-.4442837","-1.2301","","","","","-.406795","-1.142918","-.3618938","-1.021713","","","-.263883","-.7555896"
"33.ncounty","-.0676679","-1.567528","","","","","-.0109022","-.2722253","-.0653128","-1.549189","","","-.0039564","-.1016704"
"34.ncounty","-.0069697","-.1326895","","","","",".0032419",".0608303",".0155315",".3074216","","",".0260541",".5040268"
"35.ncounty",".0117616",".2741853","","","","",".0509365","1.255879",".0446584","1.061941","","",".0830947","2.065313"
"36.ncounty",".1088796","3.22099","","","","",".1370811","4.107922",".1219362","3.754574","","",".1552215","4.798542"
"std_length",".0123413","2.93249","","","","",".0075345","1.739953","-.0121322","-2.777131","","","-.0153647","-3.416105"
"std_logdist","-.1705376","-20.3584","","","","","-.123191","-12.53581","-.1391823","-16.4122","","","-.1018183","-10.39441"
"std_logpopdensity","","","-.0435288","-6.583103","","","-.0815318","-6.929076","","","-.0471123","-7.298434","-.0680952","-5.876646"
"std_incomediversity4adj","","",".1677803","27.06474","","",".1513803","24.51652","","",".1689715","27.72039",".1522511","25.04653"
"std_logpoi","","",".0673138","12.93391","","",".044624","7.882794","","",".0328801","5.987685",".0099623","1.704178"
"std_logincome","","",".0717142","9.49968","","",".0523211","5.833372","","",".0759924","10.16552",".0684583","7.69892"
