"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0616949","-1.309005","","","","","-.0560499","-1.239624","-.0570412","-1.24062","","","-.0407517","-.9171507"
"3.ncounty",".0188968",".2870087","","","","",".0031375",".0458919",".016773",".2569316","","",".0305304",".4466827"
"4.ncounty","-.2138184","-5.497382","","","","","-.1361334","-3.713631","-.1983143","-5.163337","","","-.1270647","-3.487819"
"5.ncounty",".0767087","1.440522","","","","",".0691139","1.440108",".0620641","1.18435","","",".0731896","1.540973"
"6.ncounty","-.1916801","-5.495854","","","","","-.1967603","-5.851378","-.2290604","-6.689216","","","-.2188349","-6.576946"
"7.ncounty","-.1887202","-6.408255","","","","","-.0794095","-2.468922","-.2221696","-7.714087","","","-.1011844","-3.18825"
"8.ncounty","-.1458739","-2.995838","","","","","-.0432175","-.9352228","-.1720374","-3.560313","","","-.0585531","-1.285982"
"9.ncounty","-.1704163","-3.255702","","","","","-.0583329","-1.15841","-.2181281","-4.325864","","","-.1081483","-2.236164"
"10.ncounty","-.3054799","-3.101148","","","","","-.4695981","-4.54721","-.3020098","-3.137638","","","-.4390506","-4.254297"
"11.ncounty",".2024404","5.220634","","","","",".180521","4.626011",".1706736","4.458153","","",".1613185","4.154155"
"12.ncounty",".1484171","3.43864","","","","",".1231091","2.916321",".1578569","3.757163","","",".1418209","3.39822"
"13.ncounty","-.3705067","-7.431731","","","","","-.4108383","-8.2525","-.3690895","-7.558294","","","-.3996726","-8.188156"
"14.ncounty",".0718642","1.376447","","","","",".0291537",".5683334",".069334","1.38694","","",".0517737","1.040805"
"15.ncounty","-.1586735","-3.832077","","","","","-.1450827","-3.622109","-.1715886","-4.276941","","","-.1543215","-3.946472"
"16.ncounty","-.0049453","-.0862223","","","","",".1171504","2.201743","-.05034","-.9184397","","",".0851966","1.655127"
"17.ncounty","-.1363346","-2.175201","","","","","-.1540011","-2.426601","-.1365322","-2.246787","","","-.1387831","-2.238248"
"18.ncounty","-.195715","-2.456131","","","","","-.2658713","-3.74781","-.1327269","-1.945017","","","-.2099661","-3.363359"
"19.ncounty","-.0133784","-.2827881","","","","",".0549975","1.254734","-.0465696","-.9901077","","",".0245073",".5641506"
"20.ncounty","-.2737928","-6.949477","","","","","-.1029252","-2.542906","-.3047936","-7.86628","","","-.1258489","-3.133864"
"21.ncounty","-.6650722","-10.83562","","","","","-.2616584","-4.589126","-.6916239","-11.45732","","","-.2695772","-4.787298"
"22.ncounty","-.1512694","-4.545825","","","","","-.1658435","-5.052695","-.1931368","-5.954503","","","-.1975266","-6.130595"
"23.ncounty","-.5418718","-3.47302","","","","","-.6780205","-4.074245","-.5667982","-4.031443","","","-.6832327","-4.393275"
"24.ncounty","-.2508059","-7.377533","","","","","-.079455","-2.179062","-.3075334","-9.148426","","","-.13176","-3.636701"
"25.ncounty","-.2715419","-5.42015","","","","","-.2216537","-4.316948","-.3327728","-6.693315","","","-.2620665","-5.151069"
"26.ncounty",".1568899","2.495748","","","","",".1266185","2.098941",".0937062","1.517049","","",".0732745","1.215099"
"27.ncounty","-.5395466","-13.87922","","","","","-.3626524","-10.17627","-.5151179","-13.20319","","","-.3289507","-9.193671"
"28.ncounty",".0369877",".6565992","","","","",".0534497",".9359251",".0688583","1.280637","","",".0897997","1.642109"
"29.ncounty","-.0056447","-.1441349","","","","","-.0160481","-.4209039",".018088",".4773025","","",".0177061",".4750303"
"30.ncounty",".0001335",".0028915","","","","","-.0287062","-.6384325",".0368551",".8258519","","",".0164182",".3719036"
"31.ncounty",".2708952","7.40258","","","","",".2972203","8.079259",".2844154","8.009061","","",".3358042","9.310098"
"32.ncounty","-.1184367","-.6188505","","","","","-.0655618","-.4537545","-.0305416","-.1591777","","",".0771247",".5243528"
"33.ncounty","-.0592605","-1.35547","","","","","-.0104043","-.2543727","-.0597516","-1.387845","","","-.0069614","-.1736405"
"34.ncounty","-.0029687","-.0628098","","","","",".006408",".1358523",".0138555",".3033136","","",".02312",".5019232"
"35.ncounty","-.0055847","-.125898","","","","",".0350485",".8468662",".0270174",".6193716","","",".0670469","1.624262"
"36.ncounty",".0947218","2.815665","","","","",".1286737","3.897038",".1118711","3.442033","","",".1501836","4.649892"
"std_length",".0123081","2.898362","","","","",".008202","1.870811","-.0095626","-2.164165","","","-.0122418","-2.689797"
"std_logdist","-.1649361","-18.95674","","","","","-.1174479","-11.73349","-.137085","-15.52811","","","-.0985989","-9.862915"
"std_logpopdensity","","","-.0430722","-6.277468","","","-.0805244","-6.552919","","","-.0478832","-7.124382","-.0683979","-5.629546"
"std_incomediversity4adj","","",".1674982","25.82746","","",".1507846","23.33689","","",".1685632","26.42804",".1513664","23.75916"
"std_logpoi","","",".066365","12.28302","","",".0438599","7.451635","","",".0357634","6.327911",".012947","2.141158"
"std_logincome","","",".0709157","8.93749","","",".0525557","5.581336","","",".0746409","9.493084",".0676532","7.234976"
