"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0486588","-1.074974","","","","","-.049071","-1.1237","-.0467102","-1.056559","","","-.0357948","-.8345071"
"3.ncounty",".0218074",".3354808","","","","",".003705",".0547592",".0145081",".2260831","","",".0278539",".4136005"
"4.ncounty","-.2086563","-5.515286","","","","","-.1330843","-3.727388","-.1952094","-5.225479","","","-.1262114","-3.556098"
"5.ncounty",".0475269",".8891457","","","","",".047494",".998398",".0304399",".5806599","","",".0507724","1.082439"
"6.ncounty","-.1760876","-5.146678","","","","","-.1842843","-5.548042","-.2181899","-6.50139","","","-.2096141","-6.385744"
"7.ncounty","-.191523","-6.705899","","","","","-.0829322","-2.646063","-.2262164","-8.118642","","","-.1057208","-3.427463"
"8.ncounty","-.1582892","-3.301208","","","","","-.0572302","-1.242556","-.184292","-3.885068","","","-.0731683","-1.615277"
"9.ncounty","-.1849206","-3.504776","","","","","-.0750798","-1.478855","-.2346617","-4.636607","","","-.1280055","-2.633827"
"10.ncounty","-.287993","-2.928349","","","","","-.4560886","-4.417186","-.2943639","-3.063273","","","-.432435","-4.191087"
"11.ncounty",".2018876","5.175504","","","","",".1760397","4.460558",".1636471","4.280715","","",".1516907","3.895105"
"12.ncounty",".145783","3.452286","","","","",".116264","2.796932",".1541975","3.771513","","",".1355882","3.314813"
"13.ncounty","-.3711377","-7.433191","","","","","-.4103239","-8.294253","-.3738468","-7.670442","","","-.4024678","-8.328541"
"14.ncounty",".086346","1.676849","","","","",".0388758",".7723418",".0785395","1.591488","","",".0583128","1.195472"
"15.ncounty","-.1439662","-3.561317","","","","","-.1321067","-3.369733","-.1613894","-4.115424","","","-.1455586","-3.801102"
"16.ncounty","-.0130316","-.2220458","","","","",".1096366","2.059458","-.0638647","-1.13747","","",".0729653","1.42029"
"17.ncounty","-.1197233","-1.935725","","","","","-.1408941","-2.2495","-.1282815","-2.140406","","","-.1324416","-2.166345"
"18.ncounty","-.1794703","-2.253641","","","","","-.2503899","-3.536218","-.1235946","-1.819544","","","-.2010209","-3.228434"
"19.ncounty","-.0095836","-.2047495","","","","",".0557683","1.272843","-.047822","-1.030741","","",".0211757",".4900873"
"20.ncounty","-.2781375","-7.305191","","","","","-.1105873","-2.818612","-.3100647","-8.308103","","","-.1344618","-3.464215"
"21.ncounty","-.6415855","-11.0088","","","","","-.2463048","-4.526703","-.6715701","-11.69507","","","-.2572001","-4.776388"
"22.ncounty","-.1467731","-4.48414","","","","","-.1616257","-4.974065","-.1923892","-6.041607","","","-.1967636","-6.180114"
"23.ncounty","-.5118981","-3.618679","","","","","-.6371176","-4.176217","-.5266952","-4.032756","","","-.630472","-4.276992"
"24.ncounty","-.2470426","-7.475611","","","","","-.0787962","-2.225104","-.3061131","-9.371592","","","-.1335629","-3.796619"
"25.ncounty","-.2627143","-5.429563","","","","","-.219061","-4.427336","-.3275441","-6.804953","","","-.2618481","-5.330907"
"26.ncounty",".1707122","2.871701","","","","",".1350774","2.36074",".1081742","1.847458","","",".0837432","1.462274"
"27.ncounty","-.5509419","-14.55268","","","","","-.3738071","-10.73063","-.5259503","-13.86474","","","-.3391611","-9.714375"
"28.ncounty",".0496738",".8855586","","","","",".0628687","1.103698",".073825","1.380497","","",".0926191","1.701058"
"29.ncounty",".0001061",".0027617","","","","","-.011912","-.316435",".0212096",".5719173","","",".0208038",".5668926"
"30.ncounty",".0074986",".1623902","","","","","-.0207385","-.4593292",".0415029",".9325413","","",".0225821",".5109515"
"31.ncounty",".2734075","7.424841","","","","",".2986297","8.051497",".2821924","7.917452","","",".3342658","9.217156"
"32.ncounty","-.4675071","-1.294304","","","","","-.4280944","-1.202487","-.3780324","-1.066614","","","-.2800475","-.8013322"
"33.ncounty","-.0585651","-1.369994","","","","","-.0100076","-.2506456","-.0601638","-1.431619","","","-.0070784","-.181226"
"34.ncounty","-.0024944","-.0511324","","","","",".0070622",".1435397",".0191291",".4049245","","",".0287013",".597295"
"35.ncounty","-.0078837","-.1827301","","","","",".0274053",".6748978",".0261444",".6176217","","",".0604895","1.498518"
"36.ncounty",".1019778","3.061827","","","","",".1349984","4.110073",".1136873","3.538685","","",".1515496","4.727"
"std_length",".0126575","2.97395","","","","",".0081824","1.871824","-.0103289","-2.345517","","","-.0133034","-2.937954"
"std_logdist","-.1690569","-19.78938","","","","","-.1201761","-12.03234","-.1392395","-16.08995","","","-.1000328","-10.04318"
"std_logpopdensity","","","-.0416107","-6.159707","","","-.0793276","-6.573378","","","-.0457516","-6.927949","-.0663328","-5.572858"
"std_incomediversity4adj","","",".169201","26.71067","","",".1522231","24.0575","","",".170039","27.30355",".1526051","24.48046"
"std_logpoi","","",".0666009","12.49418","","",".044372","7.62865","","",".0335183","5.992818",".0112714","1.884078"
"std_logincome","","",".0718136","9.27712","","",".0512927","5.586966","","",".0759744","9.910266",".0672974","7.388165"
