"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0486447","-1.132458","","","","","-.0642619","-1.535969","-.0506289","-1.217057","","","-.0536151","-1.321997"
"3.ncounty",".0617044","1.112551","","","","",".0308379",".5336582",".0492347",".8952679","","",".0553752",".9629215"
"4.ncounty","-.2191592","-6.288153","","","","","-.1174605","-3.571155","-.2005246","-5.90048","","","-.1091195","-3.369452"
"5.ncounty",".0363654",".7395722","","","","",".0472072","1.057975",".009207",".1928188","","",".0448633","1.032333"
"6.ncounty","-.1298645","-4.094969","","","","","-.1604551","-5.109365","-.2010055","-6.504911","","","-.2037472","-6.632377"
"7.ncounty","-.1806519","-7.000938","","","","","-.0697904","-2.421667","-.2276147","-9.141644","","","-.0980661","-3.491091"
"8.ncounty","-.1727996","-3.908962","","","","","-.0492962","-1.173642","-.2159263","-4.995579","","","-.078809","-1.923198"
"9.ncounty","-.2084609","-4.45658","","","","","-.0762284","-1.681586","-.2446479","-5.498252","","","-.120857","-2.790317"
"10.ncounty","-.3791803","-3.154595","","","","","-.5688381","-4.577688","-.3806327","-3.447654","","","-.5306583","-4.562345"
"11.ncounty",".2211428","6.092886","","","","",".1913105","5.212869",".1616718","4.611286","","",".1534604","4.302707"
"12.ncounty",".1532754","3.913464","","","","",".1198702","3.083559",".1477858","3.947245","","",".1336589","3.527036"
"13.ncounty","-.3477117","-7.593027","","","","","-.4027597","-8.791038","-.3614252","-8.13023","","","-.3982702","-8.923423"
"14.ncounty",".0705982","1.417414","","","","",".0226123",".4582809",".0464428",".9780482","","",".0353837",".7447402"
"15.ncounty","-.0850549","-2.380734","","","","","-.08071","-2.278194","-.1166825","-3.36906","","","-.103905","-3.009641"
"16.ncounty","-.0207287","-.369026","","","","",".1175876","2.37692","-.0858964","-1.585665","","",".0721747","1.522769"
"17.ncounty","-.0744056","-1.378045","","","","","-.1069159","-1.94783","-.0956119","-1.835793","","","-.1027127","-1.918956"
"18.ncounty","-.0849088","-.9561463","","","","","-.1577517","-1.765949","-.0413138","-.4736092","","","-.117504","-1.295145"
"19.ncounty","-.0024969","-.057959","","","","",".0716147","1.717775","-.066108","-1.573544","","",".0165534",".4089882"
"20.ncounty","-.3155695","-9.587165","","","","","-.1103935","-3.144217","-.3408786","-10.66378","","","-.1285462","-3.732564"
"21.ncounty","-.7258331","-13.93735","","","","","-.2402332","-4.841519","-.7563872","-14.85838","","","-.2509823","-5.137047"
"22.ncounty","-.1161656","-3.951755","","","","","-.1437113","-4.832815","-.1766232","-6.220184","","","-.1868097","-6.453599"
"23.ncounty","-.4349771","-3.386126","","","","","-.5843883","-4.264826","-.4870733","-4.093371","","","-.6002703","-4.419558"
"24.ncounty","-.245941","-8.258182","","","","","-.057762","-1.792562","-.3145488","-10.82579","","","-.1218343","-3.857833"
"25.ncounty","-.229374","-5.154888","","","","","-.2016002","-4.393889","-.3131847","-7.141862","","","-.2568742","-5.720213"
"26.ncounty",".1638199","2.765004","","","","",".115411","2.030154",".1019272","1.800697","","",".0723557","1.317703"
"27.ncounty","-.533162","-16.08797","","","","","-.3067102","-9.775858","-.5084859","-15.42947","","","-.2753377","-8.829416"
"28.ncounty",".0678002","1.215268","","","","",".0717941","1.250993",".0966761","1.832628","","",".1088372","2.003466"
"29.ncounty",".050591","1.465465","","","","",".0225125",".6533744",".0607018","1.828209","","",".0504248","1.515604"
"30.ncounty",".0541715","1.277141","","","","",".0142865",".3407361",".0708342","1.748092","","",".0469551","1.152623"
"31.ncounty",".2810389","7.635404","","","","",".3125556","8.311805",".279814","7.939353","","",".3445717","9.475426"
"32.ncounty","-.4653448","-1.501687","","","","","-.4039045","-1.352504","-.420954","-1.396025","","","-.2905095","-.9949377"
"33.ncounty","-.0283998","-.7435574","","","","",".0272711",".7588571","-.036897","-.9889822","","",".0260426",".7448766"
"34.ncounty",".0030234",".0617485","","","","",".0071237",".1424306",".0274394",".5887756","","",".0355649",".7417335"
"35.ncounty","-.004168","-.0964947","","","","",".0370277",".8843485",".0291045",".6996393","","",".0686389","1.687585"
"36.ncounty",".1097029","3.477426","","","","",".1239773","3.924199",".117609","3.918684","","",".1403692","4.626192"
"std_length",".0132219","3.239339","","","","",".0060474","1.431049","-.0202739","-4.658439","","","-.0241885","-5.337764"
"std_logdist","-.1683321","-21.48276","","","","","-.111875","-12.04689","-.1297249","-16.43872","","","-.0876454","-9.488152"
"std_logpopdensity","","","-.0622908","-10.33026","","","-.0938274","-8.426456","","","-.061979","-10.56332","-.0764144","-7.019102"
"std_incomediversity4adj","","",".1786469","31.45888","","",".1596824","28.11879","","",".1809398","32.6074",".1610722","29.02886"
"std_logpoi","","",".0831819","17.17289","","",".0640653","12.23165","","",".0373957","7.295436",".0172922","3.18839"
"std_logincome","","",".0811763","12.13948","","",".0652401","7.957122","","",".084316","12.817",".0813061","10.11598"
