"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0261342","-.6228979","","","","","-.0370487","-.9088418","-.0257562","-.6318317","","","-.0261012","-.6578115"
"3.ncounty",".0564141","1.002542","","","","",".031639",".541708",".0531696",".9533794","","",".061508","1.056359"
"4.ncounty","-.2164681","-6.116239","","","","","-.1216069","-3.63061","-.1994442","-5.766233","","","-.1141967","-3.458721"
"5.ncounty",".0364572",".7195286","","","","",".0441561",".961319",".011862",".2412699","","",".0415066",".9298171"
"6.ncounty","-.1247794","-3.868446","","","","","-.1479408","-4.651991","-.1889264","-6.006672","","","-.1882585","-6.04681"
"7.ncounty","-.1821908","-6.948229","","","","","-.0671074","-2.295362","-.2247818","-8.866504","","","-.093574","-3.282971"
"8.ncounty","-.1693991","-3.753907","","","","","-.0550535","-1.277043","-.2078235","-4.707851","","","-.0816379","-1.942713"
"9.ncounty","-.1984812","-4.093175","","","","","-.0685398","-1.462793","-.2409626","-5.224608","","","-.1184832","-2.645641"
"10.ncounty","-.3404124","-2.932319","","","","","-.5266536","-4.305636","-.3444894","-3.117162","","","-.4947685","-4.209786"
"11.ncounty",".217789","5.837073","","","","",".1913854","5.088395",".1660233","4.606009","","",".1577418","4.317678"
"12.ncounty",".1580259","3.971668","","","","",".1263979","3.211402",".157551","4.131779","","",".1428898","3.719278"
"13.ncounty","-.3482552","-7.306082","","","","","-.3999679","-8.384803","-.3612591","-7.797429","","","-.3973852","-8.555436"
"14.ncounty",".1016079","2.104687","","","","",".0585995","1.239409",".0791743","1.71328","","",".0696769","1.518907"
"15.ncounty","-.0969364","-2.637187","","","","","-.0909168","-2.50214","-.1230769","-3.459913","","","-.1109277","-3.140738"
"16.ncounty",".0326619",".615506","","","","",".157678","3.263575","-.0372574","-.7264457","","",".1056706","2.267102"
"17.ncounty","-.0623952","-1.127533","","","","","-.0885249","-1.584259","-.0794905","-1.481715","","","-.0833334","-1.521844"
"18.ncounty","-.091629","-1.03118","","","","","-.1575583","-1.76287","-.0389309","-.4473047","","","-.1111043","-1.2291"
"19.ncounty","-.0005998","-.0137094","","","","",".0755077","1.80257","-.0586351","-1.368988","","",".0247305",".6061006"
"20.ncounty","-.2920839","-8.605352","","","","","-.0996461","-2.765028","-.3192165","-9.643178","","","-.1188897","-3.355367"
"21.ncounty","-.7024483","-12.98894","","","","","-.2428622","-4.727399","-.733829","-13.85364","","","-.2546659","-5.029501"
"22.ncounty","-.1120851","-3.751889","","","","","-.1314327","-4.365591","-.1686029","-5.845397","","","-.1737703","-5.937983"
"23.ncounty","-.4409547","-3.42651","","","","","-.5807249","-4.226325","-.4805155","-4.02944","","","-.5891336","-4.336741"
"24.ncounty","-.2444675","-8.031084","","","","","-.0600149","-1.826612","-.3117315","-10.48768","","","-.1233222","-3.830863"
"25.ncounty","-.2121232","-4.598489","","","","","-.1776041","-3.742679","-.294905","-6.427742","","","-.2344827","-5.008255"
"26.ncounty",".2046067","3.652039","","","","",".1563343","2.868541",".1403939","2.564358","","",".107855","2.009163"
"27.ncounty","-.5421011","-16.03597","","","","","-.3275025","-10.24294","-.5173059","-15.37965","","","-.2958316","-9.308437"
"28.ncounty",".0615925","1.097424","","","","",".0663818","1.14913",".0981741","1.847949","","",".1091436","1.992441"
"29.ncounty",".0403042","1.136722","","","","",".0188708",".5365707",".0544806","1.601972","","",".0483399","1.42323"
"30.ncounty",".0678691","1.611182","","","","",".032432",".7817886",".089136","2.198408","","",".0675921","1.666786"
"31.ncounty",".2853794","7.740098","","","","",".3102095","8.214018",".2893198","8.188205","","",".3446702","9.441055"
"32.ncounty","-.4747989","-1.531805","","","","","-.4180954","-1.399389","-.4195046","-1.389211","","","-.2979286","-1.019227"
"33.ncounty","-.0396265","-1.017114","","","","",".0148793",".4067984","-.0435801","-1.147731","","",".0159933",".4512071"
"34.ncounty",".0027263",".0558511","","","","",".0090744",".181859",".0287619",".6173178","","",".0374188",".7799412"
"35.ncounty",".0290549",".6790398","","","","",".070006","1.705173",".0596365","1.424044","","",".0984838","2.428675"
"36.ncounty",".1047187","3.259928","","","","",".1226464","3.814294",".116647","3.81932","","",".1408401","4.562983"
"std_length",".0127526","3.110465","","","","",".0058995","1.395494","-.0186529","-4.318116","","","-.022617","-5.07189"
"std_logdist","-.1720512","-21.66605","","","","","-.1186773","-12.65421","-.135051","-16.85343","","","-.0948756","-10.15553"
"std_logpopdensity","","","-.0592885","-9.583232","","","-.0938642","-8.344756","","","-.0602602","-9.997362","-.0776026","-7.051242"
"std_incomediversity4adj","","",".1769945","30.46966","","",".1576634","27.22845","","",".1788779","31.4348",".1588456","28.00733"
"std_logpoi","","",".0808197","16.32317","","",".060642","11.2782","","",".0383196","7.337923",".0171116","3.084169"
"std_logincome","","",".0766288","11.11915","","",".0574148","6.863166","","",".0802626","11.80846",".0738194","8.974144"
