"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.0792005","-2.195899","","","","","-.090757","-2.578032","-.0819298","-2.393743","","","-.086364","-2.562253"
"3.ncounty",".0848713","1.706482","","","","",".0272919",".5351809",".0506874","1.042981","","",".0411971",".8213471"
"4.ncounty","-.270382","-9.224458","","","","","-.1404926","-5.034164","-.2277503","-8.111422","","","-.1219272","-4.505732"
"5.ncounty",".0298884",".6979031","","","","",".0416445","1.051606","-.0137916","-.3359251","","",".0314012",".8186946"
"6.ncounty","-.0978162","-3.321737","","","","","-.1727439","-5.904701","-.2255892","-8.067355","","","-.238349","-8.527699"
"7.ncounty","-.2002031","-8.911563","","","","","-.1004193","-3.935639","-.2818301","-13.20077","","","-.1357734","-5.549115"
"8.ncounty","-.139368","-3.680511","","","","","-.0467637","-1.279325","-.2204924","-6.016152","","","-.1016063","-2.885368"
"9.ncounty","-.4035807","-9.887907","","","","","-.2620489","-6.559807","-.394246","-10.36114","","","-.2649824","-7.062234"
"10.ncounty","-.2477772","-2.35503","","","","","-.5093107","-4.671209","-.313361","-3.211342","","","-.4959697","-4.80439"
"11.ncounty",".2044193","5.550092","","","","",".1431273","3.883776",".1054417","3.083531","","",".088296","2.541958"
"12.ncounty",".1884528","5.042666","","","","",".1147042","3.110046",".1273969","3.65043","","",".1027071","2.919336"
"13.ncounty","-.2786204","-7.132575","","","","","-.3739263","-9.540619","-.3222394","-8.5021","","","-.3725089","-9.777641"
"14.ncounty",".1542058","3.432502","","","","",".0582504","1.302758",".0839389","1.940218","","",".0561725","1.288444"
"15.ncounty","-.1012431","-3.134095","","","","","-.1238403","-3.873759","-.1556255","-5.091475","","","-.1552167","-5.094433"
"16.ncounty","-.124062","-2.29083","","","","",".0138336",".2748476","-.2077254","-4.08974","","","-.0367807","-.7905699"
"17.ncounty","-.0720515","-1.437546","","","","","-.1439281","-2.889224","-.1206422","-2.587952","","","-.1424907","-3.027553"
"18.ncounty",".0476255",".60717","","","","","-.0764902","-.9604548",".0186763",".2310858","","","-.0888713","-1.073828"
"19.ncounty","-.0566797","-1.417458","","","","","-.004289","-.1092552","-.1535224","-4.097291","","","-.0771747","-2.103056"
"20.ncounty","-.4058583","-15.88446","","","","","-.187554","-6.557139","-.3667833","-14.85049","","","-.1443335","-5.206268"
"21.ncounty","-.717194","-18.96238","","","","","-.2121149","-5.443564","-.716548","-19.25902","","","-.1903786","-4.979729"
"22.ncounty","-.1107927","-4.247962","","","","","-.1700459","-6.384783","-.2074351","-8.413371","","","-.2260239","-8.908372"
"23.ncounty","-.198201","-1.757837","","","","","-.3842782","-3.163271","-.2882458","-2.258343","","","-.4101501","-2.943414"
"24.ncounty","-.2983029","-11.49899","","","","","-.1094927","-3.875059","-.3551262","-14.3219","","","-.1572503","-5.791973"
"25.ncounty","-.2619946","-6.374961","","","","","-.2510003","-6.018758","-.3561093","-9.109625","","","-.2991178","-7.524641"
"26.ncounty",".1839191","3.128877","","","","",".0823503","1.435234",".0694944","1.28875","","",".0148172",".2789157"
"27.ncounty","-.5630491","-20.34379","","","","","-.2957575","-10.88802","-.5298869","-19.56289","","","-.2670248","-10.04302"
"28.ncounty",".0859445","1.759768","","","","",".0775362","1.546355",".1119104","2.489937","","",".1136084","2.43239"
"29.ncounty",".1012198","3.187257","","","","",".0416431","1.303094",".0832072","2.747877","","",".0592326","1.937575"
"30.ncounty",".0846473","2.204207","","","","",".0166729",".4400161",".067501","1.919376","","",".0328343",".922848"
"31.ncounty",".2990969","8.930233","","","","",".3016484","8.822376",".2721738","8.64516","","",".3297926","10.09454"
"32.ncounty","-.4086296","-1.472804","","","","","-.3401554","-1.282902","-.4342724","-1.544442","","","-.2823684","-1.041241"
"33.ncounty","-.07205","-1.929101","","","","","-.0195854","-.5595559","-.0941535","-2.675442","","","-.0260852","-.7907281"
"34.ncounty",".0406282",".8894846","","","","",".0229789",".4933255",".0436845","1.022421","","",".035093",".7984588"
"35.ncounty","-.0597954","-1.489484","","","","","-.0192037","-.4847028","-.0341532","-.9131215","","",".0019881",".0532483"
"36.ncounty",".140365","5.051404","","","","",".1233307","4.426283",".1388806","5.317506","","",".1409456","5.33099"
"std_length",".0169693","4.262775","","","","",".0047529","1.170887","-.0377831","-8.586499","","","-.0430687","-9.402672"
"std_logdist","-.1834242","-25.72409","","","","","-.1093097","-12.48978","-.1273731","-18.23822","","","-.0848351","-9.882284"
"std_logpopdensity","","","-.0964459","-18.17313","","","-.1078529","-10.50883","","","-.0851245","-16.56346","-.0912656","-9.224982"
"std_incomediversity4adj","","",".1738338","35.44874","","",".1549401","31.21691","","",".1804036","37.98711",".1599234","33.3921"
"std_logpoi","","",".1325192","30.06192","","",".1104564","23.18504","","",".0550207","11.70825",".031406","6.33773"
"std_logincome","","",".0792894","14.11077","","",".0694624","9.923079","","",".0775137","14.1713",".0829992","12.23993"
