"","rg","","rd","","rc","","rgd","","rgc","","rdc","","rgcd",""
"","b","t","b","t","b","t","b","t","b","t","b","t","b","t"
"1.ncounty","0",".","","","","","0",".","0",".","","","0","."
"2.ncounty","-.1080666","-2.99949","","","","","-.1194714","-3.407518","-.1227674","-3.702183","","","-.1256402","-3.841831"
"3.ncounty",".1179377","2.36441","","","","",".0423853",".8268736",".0618424","1.289969","","",".0496644",".9959539"
"4.ncounty","-.2745852","-9.684157","","","","","-.1430026","-5.276905","-.2213319","-8.287727","","","-.1202886","-4.643667"
"5.ncounty",".0746768","1.811835","","","","",".0685761","1.791395","-.0038132","-.0977498","","",".0378318","1.03244"
"6.ncounty","-.0517784","-1.705993","","","","","-.1553764","-5.171537","-.2329275","-8.293427","","","-.248246","-8.835273"
"7.ncounty","-.1630686","-7.380561","","","","","-.0916895","-3.681176","-.2865548","-13.89514","","","-.1418082","-6.010062"
"8.ncounty","-.1172937","-3.071237","","","","","-.0400563","-1.090312","-.2344318","-6.482121","","","-.1186128","-3.408854"
"9.ncounty","-.4363355","-11.27623","","","","","-.2998778","-7.884201","-.4212427","-11.8098","","","-.3007011","-8.476999"
"10.ncounty","-.2469564","-2.242483","","","","","-.5242597","-4.837275","-.3169633","-3.310493","","","-.4968355","-5.120957"
"11.ncounty",".2106458","5.566049","","","","",".1257821","3.368703",".0894153","2.610183","","",".0671389","1.95089"
"12.ncounty",".2074575","5.389692","","","","",".1127888","2.996578",".1168939","3.349905","","",".089951","2.567834"
"13.ncounty","-.246726","-6.132486","","","","","-.3628644","-9.037905","-.3223329","-8.454959","","","-.3756663","-9.792092"
"14.ncounty",".206708","4.443534","","","","",".0817896","1.763769",".0930748","2.112393","","",".0620959","1.392049"
"15.ncounty","-.091505","-2.83267","","","","","-.1317425","-4.131275","-.1599693","-5.367495","","","-.168415","-5.667973"
"16.ncounty","-.1179852","-2.178981","","","","",".0024257",".0473861","-.2301755","-4.620869","","","-.0632373","-1.352868"
"17.ncounty","-.0163198","-.3093479","","","","","-.1112558","-2.135813","-.1181121","-2.443972","","","-.1409796","-2.890544"
"18.ncounty",".1416196","1.743315","","","","",".0063295",".0776689",".0427574",".5075528","","","-.0619676","-.7163801"
"19.ncounty","-.0240949","-.6089239","","","","",".0074137",".1904137","-.161574","-4.45307","","","-.095378","-2.669775"
"20.ncounty","-.408217","-16.75378","","","","","-.2059794","-7.567836","-.356932","-15.38842","","","-.1429708","-5.479791"
"21.ncounty","-.691503","-20.2858","","","","","-.2214027","-6.158476","-.6899075","-20.76223","","","-.1865824","-5.343243"
"22.ncounty","-.078921","-3.005707","","","","","-.159972","-6.006577","-.2141364","-8.811304","","","-.2357499","-9.439141"
"23.ncounty","-.1080436","-1.021184","","","","","-.3113666","-2.727997","-.246338","-1.976883","","","-.3660945","-2.684572"
"24.ncounty","-.2970477","-11.6169","","","","","-.1277443","-4.626315","-.3678304","-15.36094","","","-.1816325","-6.947195"
"25.ncounty","-.2573296","-6.334267","","","","","-.2669509","-6.573197","-.3597588","-9.551183","","","-.3128514","-8.211685"
"26.ncounty",".2087622","3.50199","","","","",".077052","1.30504",".0732478","1.361485","","",".0037409",".0692852"
"27.ncounty","-.5660558","-21.47659","","","","","-.3001244","-11.36004","-.5183253","-20.45206","","","-.2610186","-10.26197"
"28.ncounty",".0929478","1.849121","","","","",".0761312","1.490085",".1136841","2.502798","","",".1107794","2.361406"
"29.ncounty",".101313","3.043119","","","","",".0252293",".7605388",".0672807","2.201016","","",".0391181","1.27319"
"30.ncounty",".1162351","2.853003","","","","",".0273848",".685772",".0618005","1.706455","","",".0228046",".6267321"
"31.ncounty",".3444189","10.30446","","","","",".3238372","9.584944",".2922151","9.439654","","",".3453666","10.81529"
"32.ncounty","-.2971047","-1.070856","","","","","-.2650337","-.9971592","-.4158261","-1.474735","","","-.2751026","-1.009638"
"33.ncounty","-.0684705","-1.861726","","","","","-.0163088","-.4736848","-.0896827","-2.632721","","","-.0172211","-.5367244"
"34.ncounty",".0661391","1.403574","","","","",".0399035",".8372794",".056455","1.300662","","",".0426882",".960338"
"35.ncounty","-.0451266","-1.119424","","","","","-.0076869","-.1918022","-.03425","-.9231","","","-.0018727","-.049897"
"36.ncounty",".1589092","5.558256","","","","",".1303404","4.572439",".1411889","5.370796","","",".1399805","5.260769"
"std_length",".0271835","6.648381","","","","",".012943","3.144906","-.0459527","-10.18606","","","-.0515744","-11.053"
"std_logdist","-.1946394","-27.73838","","","","","-.1097197","-12.53625","-.1250362","-18.45163","","","-.0843983","-9.931163"
"std_logpopdensity","","","-.1030916","-19.64793","","","-.1054284","-10.38878","","","-.0870413","-17.32497","-.0908472","-9.385974"
"std_incomediversity4adj","","",".167012","35.03133","","",".1495245","30.78324","","",".1790162","39.19757",".1585139","34.24202"
"std_logpoi","","",".1626772","37.21699","","",".13809","29.20054","","",".0582102","12.55046",".031826","6.506912"
"std_logincome","","",".0776267","14.26069","","",".0663886","9.782405","","",".0714947","13.65632",".0799549","12.28255"
